,Species1
4280,Peucaea humeralis
4281,Peucaea mystacalis
4282,Peucaea ruficauda
4283,Peucaea sumichrasti
4284,Pezopetes capitalis
4285,Pipilo chlorurus
4286,Pipilo erythrophthalmus
4287,Pipilo maculatus
4288,Pipilo ocai
4289,Pipilo socorroensis
4290,Pooecetes gramineus
4291,Pselliophorus luteoviridis
4292,Pselliophorus tibialis
4293,Rhynchospiza stolzmanni
4294,Rhynchospiza strigiceps
4295,Spizella atrogularis
4296,Spizella breweri
4297,Spizella pallida
4298,Spizella passerina
4299,Spizella pusilla
4300,Spizella wortheni
4301,Torreornis inexpectata
4302,Xenospiza baileyi
4303,Zonotrichia albicollis
4304,Zonotrichia atricapilla
4305,Zonotrichia capensis
4306,Zonotrichia leucophrys
4307,Zonotrichia querula
4308,Carpospiza brachydactyla
4309,Gymnoris dentata
4310,Gymnoris pyrgita
4311,Gymnoris superciliaris
4312,Gymnoris xanthocollis
4313,Hypocryptadius cinnamomeus
4314,Montifringilla adamsi
4315,Montifringilla henrici
4316,Montifringilla nivalis
4317,Onychostruthus taczanowskii
4318,Passer ammodendri
4319,Passer castanopterus
4320,Passer cinnamomeus
4321,Passer cordofanicus
4322,Passer diffusus
4323,Passer domesticus
4324,Passer eminibey
4325,Passer euchlorus
4326,Passer flaveolus
4327,Passer gongonensis
4328,Passer griseus
4329,Passer hemileucus
4330,Passer hispaniolensis
4331,Passer iagoensis
4332,Passer insularis
4333,Passer italiae
4334,Passer luteus
4335,Passer melanurus
4336,Passer moabiticus
4337,Passer montanus
4338,Passer motitensis
4339,Passer pyrrhonotus
4340,Passer rufocinctus
4341,Passer shelleyi
4342,Passer simplex
4343,Passer suahelicus
4344,Passer swainsonii
4345,Passer zarudnyi
4346,Petronia petronia
4347,Pyrgilauda blanfordi
4348,Pyrgilauda davidiana
4349,Pyrgilauda ruficollis
4350,Pyrgilauda theresae
4351,Gampsorhynchus rufulus
4352,Gampsorhynchus torquatus
4353,Graminicola bengalensis
4354,Graminicola striatus
4355,Illadopsis albipectus
4356,Illadopsis cleaveri
4357,Illadopsis distans
4358,Illadopsis fulvescens
4359,Illadopsis puveli
4360,Illadopsis pyrrhoptera
4361,Illadopsis rufescens
4362,Illadopsis rufipennis
4363,Illadopsis turdina
4364,Kenopia striata
4365,Laticilla burnesii
4366,Laticilla cinerascens
4367,Leonardina woodi
4368,Malacocincla abbotti
4369,Malacocincla perspicillata
4370,Malacocincla sepiaria
4371,Malacopteron affine
4372,Malacopteron albogulare
4373,Malacopteron cinereum
4374,Malacopteron magnirostre
4375,Malacopteron magnum
4376,Malacopteron palawanense
4377,Napothera epilepidota
4378,Pellorneum albiventre
4379,Pellorneum capistratum
4380,Pellorneum fuscocapillus
4381,Pellorneum nigrocapitatum
4382,Pellorneum palustre
4383,Pellorneum ruficeps
4384,Ptilocichla falcata
4385,Ptilocichla leucogrammica
4386,Ptilocichla mindanensis
4387,Rimator albostriatus
4388,Rimator danjoui
4389,Rimator malacoptilus
4390,Rimator naungmungensis
4391,Rimator pasquieri
4392,Schoeniparus brunneus
4393,Schoeniparus castaneceps
4394,Schoeniparus cinereus
4395,Schoeniparus dubius
4396,Schoeniparus klossi
4397,Schoeniparus rufogularis
4398,Schoeniparus variegaticeps
4399,Trichastoma bicolor
4400,Trichastoma buettikoferi
4401,Trichastoma celebense
4402,Trichastoma cinereiceps
4403,Trichastoma malaccense
4404,Trichastoma pyrrogenys
4405,Trichastoma rostratum
4406,Trichastoma tickelli
4407,Turdinus atrigularis
4408,Turdinus brevicaudatus
4409,Turdinus calcicola
4410,Turdinus crassus
4411,Turdinus crispifrons
4412,Turdinus macrodactylus
4413,Turdinus marmoratus
4414,Turdinus rufipectus
4415,Amalocichla incerta
4416,Amalocichla sclateriana
4417,Cryptomicroeca flaviventris
4418,Devioeca papuana
4419,Drymodes beccarii
4420,Drymodes brunneopygia
4421,Drymodes superciliaris
4422,Eopsaltria australis
4423,Eopsaltria griseogularis
4424,Eugerygone rubra
4425,Gennaeodryas placens
4426,Heteromyias albispecularis
4427,Heteromyias armiti
4428,Heteromyias cinereifrons
4429,Kempiella flavovirescens
4430,Kempiella griseoceps
4431,Melanodryas cucullata
4432,Melanodryas vittata
4433,Microeca fascinans
4434,Microeca flavigaster
4435,Microeca hemixantha
4436,Microeca tormenti
4437,Monachella coultasi
4438,Monachella muelleriana
4439,Pachycephalopsis hattamensis
4440,Pachycephalopsis poliosoma
4441,Peneoenanthe pulverulenta
4442,Peneothello bimaculata
4443,Peneothello cryptoleuca
4444,Peneothello cyanus
4445,Peneothello sigillata
4446,Petroica archboldi
4447,Petroica australis
4448,Petroica bivittata
4449,Petroica boodang
4450,Petroica dannefaerdi
4451,Petroica goodenovii
4452,Petroica longipes
4453,Petroica macrocephala
4454,Petroica multicolor
4455,Petroica phoenicea
4456,Petroica pusilla
4457,Petroica rodinogaster
4458,Petroica rosea
4459,Petroica traversi
4460,Plesiodryas albonotata
4461,Poecilodryas brachyura
4462,Poecilodryas cerviniventris
4463,Poecilodryas hypoleuca
4464,Poecilodryas superciliosa
4465,Quoyornis georgianus
4466,Tregellasia capito
4467,Tregellasia leucops
4468,Peucedramus taeniatus
4469,Microligea palustris
4470,Phaenicophilus palmarum
4471,Phaenicophilus poliocephalus
4472,Xenoligea montana
4473,Neodrepanis coruscans
4474,Neodrepanis hypoxantha
4475,Philepitta castanea
4476,Philepitta schlegeli
4477,Phylloscopus affinis
4478,Phylloscopus amoenus
4479,Phylloscopus armandii
4480,Phylloscopus bonelli
4481,Phylloscopus borealis
4482,Phylloscopus borealoides
4483,Phylloscopus budongoensis
4484,Phylloscopus burkii
4485,Phylloscopus calciatilis
4486,Phylloscopus canariensis
4487,Phylloscopus cantator
4488,Phylloscopus castaniceps
4489,Phylloscopus cebuensis
4490,Phylloscopus chloronotus
4491,Phylloscopus claudiae
4492,Phylloscopus collybita
4493,Phylloscopus coronatus
4494,Phylloscopus emeiensis
4495,Phylloscopus emilsalimi
4496,Phylloscopus examinandus
4497,Phylloscopus forresti
4498,Phylloscopus fuligiventer
4499,Phylloscopus fuscatus
4500,Phylloscopus goodsoni
4501,Phylloscopus grammiceps
4502,Phylloscopus griseolus
4503,Phylloscopus hainanus
4504,Phylloscopus herberti
4505,Phylloscopus humei
4506,Phylloscopus ibericus
4507,Phylloscopus ijimae
4508,Phylloscopus inornatus
4509,Phylloscopus intensior
4510,Phylloscopus intermedius
4511,Phylloscopus kansuensis
4512,Phylloscopus laetus
4513,Phylloscopus laurae
4514,Phylloscopus maculipennis
4515,Phylloscopus maforensis
4516,Phylloscopus magnirostris
4517,Phylloscopus misoriensis
4518,Phylloscopus montis
4519,Phylloscopus neglectus
4520,Phylloscopus nitidus
4521,Phylloscopus occipitalis
4522,Phylloscopus ogilviegranti
4523,Phylloscopus olivaceus
4524,Phylloscopus omeiensis
4525,Phylloscopus orientalis
4526,Phylloscopus plumbeitarsus
4527,Phylloscopus poliocephalus
4528,Phylloscopus poliogenys
4529,Phylloscopus presbytes
4530,Phylloscopus proregulus
4531,Phylloscopus pulcher
4532,Phylloscopus reguloides
4533,Phylloscopus ricketti
4534,Phylloscopus rotiensis
4535,Phylloscopus ruficapilla
4536,Phylloscopus sarasinorum
4537,Phylloscopus schwarzi
4538,Phylloscopus sibilatrix
4539,Phylloscopus sindianus
4540,Phylloscopus soror
4541,Phylloscopus suaramerdu
4542,Phylloscopus subaffinis
4543,Phylloscopus subviridis
4544,Phylloscopus sumatrensis
4545,Phylloscopus tenellipes
4546,Phylloscopus tephrocephalus
4547,Phylloscopus tristis
4548,Phylloscopus trivirgatus
4549,Phylloscopus trochiloides
4550,Phylloscopus trochilus
4551,Phylloscopus tytleri
4552,Phylloscopus umbrovirens
4553,Phylloscopus valentini
4554,Phylloscopus whistleri
4555,Phylloscopus xanthodryas
4556,Phylloscopus xanthoschistos
4557,Phylloscopus yunnanensis
4558,Picathartes gymnocephalus
4559,Picathartes oreas
4560,Antilophia bokermanni
4561,Antilophia galeata
4562,Ceratopipra chloromeros
4563,Ceratopipra cornuta
4564,Ceratopipra erythrocephala
4565,Ceratopipra mentalis
4566,Ceratopipra rubrocapilla
4567,Chiroxiphia boliviana
4568,Chiroxiphia caudata
4569,Chiroxiphia lanceolata
4570,Chiroxiphia linearis
4571,Chiroxiphia pareola
4572,Chloropipo flavicapilla
4573,Chloropipo unicolor
4574,Corapipo gutturalis
4575,Corapipo leucorrhoa
4576,Cryptopipo holochlora
4577,Cryptopipo litae
4578,Heterocercus aurantiivertex
4579,Heterocercus flavivertex
4580,Heterocercus linteatus
4581,Ilicura militaris
4582,Lepidothrix coeruleocapilla
4583,Lepidothrix coronata
4584,Lepidothrix iris
4585,Lepidothrix isidorei
4586,Lepidothrix nattereri
4587,Lepidothrix serena
4588,Lepidothrix suavissima
4589,Lepidothrix vilasboasi
4590,Machaeropterus deliciosus
4591,Machaeropterus eckelberryi
4592,Machaeropterus pyrocephalus
4593,Machaeropterus regulus
4594,Machaeropterus striolatus
4595,Manacus aurantiacus
4596,Manacus candei
4597,Manacus manacus
4598,Manacus vitellinus
4599,Masius chrysopterus
4600,Neopelma aurifrons
4601,Neopelma chrysocephalum
4602,Neopelma chrysolophum
4603,Neopelma pallescens
4604,Neopelma sulphureiventer
4605,Pipra aureola
4606,Pipra fasciicauda
4607,Pipra filicauda
4608,Pseudopipra pipra
4609,Tyranneutes stolzmanni
4610,Tyranneutes virescens
4611,Xenopipo atronitens
4612,Xenopipo uniformis
4613,Erythropitta arquata
4614,Erythropitta caeruleitorques
4615,Erythropitta celebensis
4616,Erythropitta dohertyi
4617,Erythropitta erythrogaster
4618,Erythropitta gazellae
4619,Erythropitta granatina
4620,Erythropitta inspeculata
4621,Erythropitta kochi
4622,Erythropitta macklotii
4623,Erythropitta meeki
4624,Erythropitta novaehibernicae
4625,Erythropitta palliceps
4626,Erythropitta rubrinucha
4627,Erythropitta rufiventris
4628,Erythropitta splendida
4629,Erythropitta ussheri
4630,Erythropitta venusta
4631,Hydrornis baudii
4632,Hydrornis caeruleus
4633,Hydrornis cyaneus
4634,Hydrornis elliotii
4635,Hydrornis guajanus
4636,Hydrornis gurneyi
4637,Hydrornis irena
4638,Hydrornis nipalensis
4639,Hydrornis oatesi
4640,Hydrornis phayrei
4641,Hydrornis schneideri
4642,Hydrornis schwaneri
4643,Hydrornis soror
4644,Pitta anerythra
4645,Pitta angolensis
4646,Pitta brachyura
4647,Pitta elegans
4648,Pitta iris
4649,Pitta maxima
4650,Pitta megarhyncha
4651,Pitta moluccensis
4652,Pitta morotaiensis
4653,Pitta novaeguineae
4654,Pitta nympha
4655,Pitta reichenowi
4656,Pitta rosenbergii
4657,Pitta sordida
4658,Pitta steerii
4659,Pitta superba
4660,Pitta versicolor
4661,Pityriasis gymnocephala
4662,Platylophus galericulatus
4663,Batis capensis
4664,Batis crypta
4665,Batis dimorpha
4666,Batis diops
4667,Batis erlangeri
4668,Batis fratrum
4669,Batis ituriensis
4670,Batis margaritae
4671,Batis minima
4672,Batis minor
4673,Batis minulla
4674,Batis mixta
4675,Batis molitor
4676,Batis occulta
4677,Batis orientalis
4678,Batis perkeo
4679,Batis poensis
4680,Batis pririt
4681,Batis reichenowi
4682,Batis senegalensis
4683,Batis soror
4684,Dyaphorophyia ansorgei
4685,Dyaphorophyia blissetti
4686,Dyaphorophyia castanea
4687,Dyaphorophyia chalybea
4688,Dyaphorophyia concreta
4689,Dyaphorophyia hormophora
4690,Dyaphorophyia jamesoni
4691,Dyaphorophyia tonsa
4692,Lanioturdus torquatus
4693,Platysteira albifrons
4694,Platysteira cyanea
4695,Platysteira laticincta
4696,Platysteira peltata
4697,Amblyospiza albifrons
4698,Anaplectes jubaensis
4699,Anaplectes leuconotos
4700,Anaplectes rubriceps
4701,Brachycope anomala
4702,Bubalornis albirostris
4703,Bubalornis niger
4704,Dinemellia dinemelli
4705,Euplectes afer
4706,Euplectes albonotatus
4707,Euplectes ardens
4708,Euplectes aureus
4709,Euplectes axillaris
4710,Euplectes capensis
4711,Euplectes diadematus
4712,Euplectes franciscanus
4713,Euplectes gierowii
4714,Euplectes hartlaubi
4715,Euplectes hordeaceus
4716,Euplectes jacksoni
4717,Euplectes laticauda
4718,Euplectes macroura
4719,Euplectes nigroventris
4720,Euplectes orix
4721,Euplectes progne
4722,Euplectes psammacromius
4723,Foudia aldabrana
4724,Foudia consobrina
4725,Foudia eminentissima
4726,Foudia flavicans
4727,Foudia madagascariensis
4728,Foudia omissa
4729,Foudia rubra
4730,Foudia sechellarum
4731,Histurgops ruficauda
4732,Malimbus ballmanni
4733,Malimbus cassini
4734,Malimbus coronatus
4735,Malimbus erythrogaster
4736,Malimbus ibadanensis
4737,Malimbus malimbicus
4738,Malimbus nitens
4739,Malimbus racheliae
4740,Malimbus rubricollis
4741,Malimbus scutatus
4742,Philetairus socius
4743,Plocepasser donaldsoni
4744,Plocepasser mahali
4745,Plocepasser rufoscapulatus
4746,Plocepasser superciliosus
4747,Ploceus albinucha
4748,Ploceus alienus
4749,Ploceus angolensis
4750,Ploceus aurantius
4751,Ploceus aureonucha
4752,Ploceus badius
4753,Ploceus baglafecht
4754,Ploceus bannermani
4755,Ploceus batesi
4756,Ploceus benghalensis
4757,Ploceus bertrandi
4758,Ploceus bicolor
4759,Ploceus bojeri
4760,Ploceus brachypterus
4761,Ploceus burnieri
4762,Ploceus capensis
4763,Ploceus castaneiceps
4764,Ploceus castaneofuscus
4765,Ploceus castanops
4766,Ploceus cucullatus
4767,Ploceus dichrocephalus
4768,Ploceus dorsomaculatus
4769,Ploceus flavipes
4770,Ploceus galbula
4771,Ploceus golandi
4772,Ploceus grandis
4773,Ploceus heuglini
4774,Ploceus hypoxanthus
4775,Ploceus insignis
4776,Ploceus intermedius
4777,Ploceus jacksoni
4778,Ploceus katangae
4779,Ploceus luteolus
4780,Ploceus manyar
4781,Ploceus megarhynchus
4782,Ploceus melanocephalus
4783,Ploceus melanogaster
4784,Ploceus nelicourvi
4785,Ploceus nicolli
4786,Ploceus nigerrimus
4787,Ploceus nigricollis
4788,Ploceus nigrimentus
4789,Ploceus ocularis
4790,Ploceus olivaceiceps
4791,Ploceus pelzelni
4792,Ploceus philippinus
4793,Ploceus preussi
4794,Ploceus princeps
4795,Ploceus reichardi
4796,Ploceus rubiginosus
4797,Ploceus ruweti
4798,Ploceus sakalava
4799,Ploceus sanctithomae
4800,Ploceus spekei
4801,Ploceus spekeoides
4802,Ploceus subaureus
4803,Ploceus subpersonatus
4804,Ploceus superciliosus
4805,Ploceus taeniopterus
4806,Ploceus temporalis
4807,Ploceus tricolor
4808,Ploceus upembae
4809,Ploceus velatus
4810,Ploceus vitellinus
4811,Ploceus weynsi
4812,Ploceus xanthops
4813,Ploceus xanthopterus
4814,Pseudonigrita arnaudi
4815,Pseudonigrita cabanisi
4816,Quelea cardinalis
4817,Quelea erythrops
4818,Quelea quelea
4819,Sporopipes frontalis
4820,Sporopipes squamifrons
4821,Pnoepyga albiventer
4822,Pnoepyga formosana
4823,Pnoepyga immaculata
4824,Pnoepyga pusilla
4825,Microbates cinereiventris
4826,Microbates collaris
4827,Polioptila albiloris
4828,Polioptila caerulea
4829,Polioptila californica
4830,Polioptila dumicola
4831,Polioptila guianensis
4832,Polioptila lactea
4833,Polioptila lembeyei
4834,Polioptila maior
4835,Polioptila melanura
4836,Polioptila nigriceps
4837,Polioptila plumbea
4838,Polioptila schistaceigula
4839,Ramphocaenus melanurus
4840,Garritornis isidorei
4841,Pomatostomus halli
4842,Pomatostomus ruficeps
4843,Pomatostomus superciliosus
4844,Pomatostomus temporalis
4845,Promerops cafer
4846,Promerops gurneyi
4847,Prunella atrogularis
4848,Prunella collaris
4849,Prunella fulvescens
4850,Prunella himalayana
4851,Prunella immaculata
4852,Prunella koslowi
4853,Prunella modularis
4854,Prunella montanella
4855,Prunella ocularis
4856,Prunella rubeculoides
4857,Prunella rubida
4858,Prunella strophiata
4859,Androphobus viridis
4860,Psophodes cristatus
4861,Psophodes nigrogularis
4862,Psophodes occidentalis
4863,Psophodes olivaceus
4864,Phainopepla nitens
4865,Phainoptila melanoxantha
4866,Ptiliogonys caudatus
4867,Ptiliogonys cinereus
4868,Ailuroedus buccoides
4869,Ailuroedus crassirostris
4870,Ailuroedus melanotis
4871,Amblyornis flavifrons
4872,Amblyornis inornata
4873,Amblyornis macgregoriae
4874,Amblyornis subalaris
4875,Archboldia papuensis
4876,Chlamydera cerviniventris
4877,Chlamydera guttata
4878,Chlamydera lauterbachi
4879,Chlamydera maculata
4880,Chlamydera nuchalis
4881,Prionodura newtoniana
4882,Ptilonorhynchus violaceus
4883,Scenopoeetes dentirostris
4884,Sericulus ardens
4885,Sericulus aureus
4886,Sericulus bakeri
4887,Sericulus chrysocephalus
4888,Acritillas indica
4889,Alcurus striatus
4890,Alophoixus bres
4891,Alophoixus flaveolus
4892,Alophoixus frater
4893,Alophoixus griseiceps
4894,Alophoixus ochraceus
4895,Alophoixus pallidus
4896,Alophoixus phaeocephalus
4897,Alophoixus ruficrissus
4898,Alophoixus tephrogenys
4899,Andropadus importunus
4900,Arizelocichla chlorigula
4901,Arizelocichla fusciceps
4902,Arizelocichla masukuensis
4903,Arizelocichla milanjensis
4904,Arizelocichla montana
4905,Arizelocichla neumanni
4906,Arizelocichla nigriceps
4907,Arizelocichla striifacies
4908,Arizelocichla tephrolaema
4909,Atimastillas flavicollis
4910,Atimastillas flavigula
4911,Baeopogon clamans
4912,Baeopogon indicator
4913,Bleda canicapillus
4914,Bleda eximius
4915,Bleda notatus
4916,Bleda syndactylus
4917,Bleda ugandae
4918,Brachypodius atriceps
4919,Brachypodius fuscoflavescens
4920,Brachypodius priocephalus
4921,Calyptocichla serinus
4922,Chlorocichla falkensteini
4923,Chlorocichla flaviventris
4924,Chlorocichla laetissima
4925,Chlorocichla prigoginei
4926,Chlorocichla simplex
4927,Criniger barbatus
4928,Criniger calurus
4929,Criniger chloronotus
4930,Criniger ndussumensis
4931,Criniger olivaceus
4932,Euptilotus eutilotus
4933,Eurillas ansorgei
4934,Eurillas curvirostris
4935,Eurillas gracilis
4936,Eurillas latirostris
4937,Eurillas virens
4938,Hemixos castanonotus
4939,Hemixos cinereus
4940,Hemixos connectens
4941,Hemixos flavala
4942,Hemixos leucogrammicus
4943,Hypsipetes affinis
4944,Hypsipetes amaurotis
4945,Hypsipetes aureus
4946,Hypsipetes borbonicus
4947,Hypsipetes catarmanensis
4948,Hypsipetes chloris
4949,Hypsipetes crassirostris
4950,Hypsipetes everetti
4951,Hypsipetes ganeesa
4952,Hypsipetes harterti
4953,Hypsipetes haynaldi
4954,Hypsipetes leucocephalus
4955,Hypsipetes longirostris
4956,Hypsipetes lucasi
4957,Hypsipetes madagascariensis
4958,Hypsipetes moheliensis
4959,Hypsipetes mysticalis
4960,Hypsipetes olivaceus
4961,Hypsipetes parvirostris
4962,Hypsipetes philippinus
4963,Hypsipetes platenae
4964,Hypsipetes rufigularis
4965,Hypsipetes siquijorensis
4966,Hypsipetes thompsoni
4967,Iole charlottae
4968,Iole finschii
4969,Iole palawanensis
4970,Iole propinqua
4971,Iole viridescens
4972,Ixidia cyaniventris
4973,Ixidia erythropthalmos
4974,Ixidia squamata
4975,Ixonotus guttatus
4976,Ixos malaccensis
4977,Ixos mcclellandii
4978,Ixos nicobariensis
4979,Ixos sumatranus
4980,Ixos virescens
4981,Microtarsus melanoleucos
4982,Neolestes torquatus
4983,Nok hualon
4984,Phyllastrephus albigula
4985,Phyllastrephus albigularis
4986,Phyllastrephus baumanni
4987,Phyllastrephus cabanisi
4988,Phyllastrephus cerviniventris
4989,Phyllastrephus debilis
4990,Phyllastrephus fischeri
4991,Phyllastrephus flavostriatus
4992,Phyllastrephus fulviventris
4993,Phyllastrephus hypochloris
4994,Phyllastrephus icterinus
4995,Phyllastrephus lorenzi
4996,Phyllastrephus poensis
4997,Phyllastrephus poliocephalus
4998,Phyllastrephus strepitans
4999,Phyllastrephus terrestris
5000,Phyllastrephus viridiceps
5001,Phyllastrephus xavieri
5002,Poliolophus urostictus
5003,Pycnonotus aurigaster
5004,Pycnonotus barbatus
5005,Pycnonotus bimaculatus
5006,Pycnonotus blanfordi
5007,Pycnonotus brunneus
5008,Pycnonotus cafer
5009,Pycnonotus capensis
5010,Pycnonotus cinereifrons
5011,Pycnonotus davisoni
5012,Pycnonotus finlaysoni
5013,Pycnonotus flavescens
5014,Pycnonotus goiavier
5015,Pycnonotus jocosus
5016,Pycnonotus leucogenys
5017,Pycnonotus leucops
5018,Pycnonotus leucotis
5019,Pycnonotus luteolus
5020,Pycnonotus nieuwenhuisii
5021,Pycnonotus nigricans
5022,Pycnonotus penicillatus
5023,Pycnonotus plumosus
5024,Pycnonotus pseudosimplex
5025,Pycnonotus simplex
5026,Pycnonotus sinensis
5027,Pycnonotus snouckaerti
5028,Pycnonotus taivanus
5029,Pycnonotus tympanistrigus
5030,Pycnonotus xantholaemus
5031,Pycnonotus xanthopygos
5032,Pycnonotus xanthorrhous
5033,Pycnonotus zeylanicus
5034,Pyrrhurus scandens
5035,Rubigula dispar
5036,Rubigula flaviventris
5037,Rubigula gularis
5038,Rubigula melanictera
5039,Rubigula montis
5040,Setornis criniger
5041,Spizixos canifrons
5042,Spizixos semitorques
5043,Stelgidillas gracilirostris
5044,Thescelocichla leucopleura
5045,Tricholestes criniger
5046,Regulus calendula
5047,Regulus goodfellowi
5048,Regulus ignicapilla
5049,Regulus madeirensis
5050,Regulus regulus
5051,Regulus satrapa
5052,Anthoscopus caroli
5053,Anthoscopus flavifrons
5054,Anthoscopus minutus
5055,Anthoscopus musculus
5056,Anthoscopus parvulus
5057,Anthoscopus punctifrons
5058,Anthoscopus sylviella
5059,Auriparus flaviceps
5060,Remiz consobrinus
5061,Remiz coronatus
5062,Remiz pendulinus
5063,Rhagologus leucostigma
5064,Acropternis orthonyx
5065,Eleoscytalopus indigoticus
5066,Eleoscytalopus psychopompus
5067,Eugralla paradoxa
5068,Liosceles thoracicus
5069,Merulaxis ater
5070,Merulaxis stresemanni
5071,Myornis senilis
5072,Psilorhamphus guttatus
5073,Pteroptochos castaneus
5074,Pteroptochos megapodius
5075,Pteroptochos tarnii
5076,Rhinocrypta lanceolata
5077,Scelorchilus albicollis
5078,Scelorchilus rubecula
5079,Scytalopus acutirostris
5080,Scytalopus affinis
5081,Scytalopus altirostris
5082,Scytalopus alvarezlopezi
5083,Scytalopus argentifrons
5084,Scytalopus atratus
5085,Scytalopus bolivianus
5086,Scytalopus canus
5087,Scytalopus caracae
5088,Scytalopus chocoensis
5089,Scytalopus diamantinensis
5090,Scytalopus femoralis
5091,Scytalopus frankeae
5092,Scytalopus fuscus
5093,Scytalopus gettyae
5094,Scytalopus gonzagai
5095,Scytalopus griseicollis
5096,Scytalopus iraiensis
5097,Scytalopus krabbei
5098,Scytalopus latebricola
5099,Scytalopus latrans
5100,Scytalopus macropus
5101,Scytalopus magellanicus
5102,Scytalopus meridanus
5103,Scytalopus micropterus
5104,Scytalopus novacapitalis
5105,Scytalopus opacus
5106,Scytalopus pachecoi
5107,Scytalopus panamensis
5108,Scytalopus parkeri
5109,Scytalopus parvirostris
5110,Scytalopus perijanus
5111,Scytalopus petrophilus
5112,Scytalopus robbinsi
5113,Scytalopus rodriguezi
5114,Scytalopus sanctaemartae
5115,Scytalopus schulenbergi
5116,Scytalopus simonsi
5117,Scytalopus speluncae
5118,Scytalopus spillmanni
5119,Scytalopus stilesi
5120,Scytalopus superciliaris
5121,Scytalopus unicolor
5122,Scytalopus urubambae
5123,Scytalopus vicinior
5124,Scytalopus whitneyi
5125,Scytalopus zimmeri
5126,Teledromas fuscus
5127,Rhipidura albicollis
5128,Rhipidura albiscapa
5129,Rhipidura albiventris
5130,Rhipidura albogularis
5131,Rhipidura albolimbata
5132,Rhipidura assimilis
5133,Rhipidura atra
5134,Rhipidura aureola
5135,Rhipidura bouruensis
5136,Rhipidura brachyrhyncha
5137,Rhipidura cinerea
5138,Rhipidura cockerelli
5139,Rhipidura coultasi
5140,Rhipidura cyaniceps
5141,Rhipidura dahli
5142,Rhipidura dedemi
5143,Rhipidura diluta
5144,Rhipidura drownei
5145,Rhipidura dryas
5146,Rhipidura euryura
5147,Rhipidura fuliginosa
5148,Rhipidura fuscorufa
5149,Rhipidura habibiei
5150,Rhipidura hoedti
5151,Rhipidura hyperythra
5152,Rhipidura isura
5153,Rhipidura javanica
5154,Rhipidura kordensis
5155,Rhipidura kubaryi
5156,Rhipidura layardi
5157,Rhipidura lepida
5158,Rhipidura leucophrys
5159,Rhipidura leucothorax
5160,Rhipidura maculipectus
5161,Rhipidura malaitae
5162,Rhipidura matthiae
5163,Rhipidura melanolaema
5164,Rhipidura nebulosa
5165,Rhipidura nigritorquis
5166,Rhipidura nigrocinnamomea
5167,Rhipidura obiensis
5168,Rhipidura ocularis
5169,Rhipidura opistherythra
5170,Rhipidura perlata
5171,Rhipidura personata
5172,Rhipidura phasiana
5173,Rhipidura phoenicura
5174,Rhipidura rennelliana
5175,Rhipidura rufidorsa
5176,Rhipidura rufifrons
5177,Rhipidura rufilateralis
5178,Rhipidura rufiventris
5179,Rhipidura samarensis
5180,Rhipidura sauli
5181,Rhipidura semirubra
5182,Rhipidura spilodera
5183,Rhipidura superciliaris
5184,Rhipidura superflua
5185,Rhipidura tenebrosa
5186,Rhipidura tenkatei
5187,Rhipidura teysmanni
5188,Rhipidura threnothorax
5189,Rhipidura verreauxi
5190,Rhodinocichla rosea
5191,Sapayoa aenigma
5192,Abroscopus albogularis
5193,Abroscopus schisticeps
5194,Abroscopus superciliaris
5195,Cettia brunnifrons
5196,Cettia castaneocoronata
5197,Cettia cetti
5198,Cettia major
5199,Erythrocercus holochlorus
5200,Erythrocercus livingstonei
5201,Erythrocercus mccallii
5202,Hemitesia neumanni
5203,Hemitesia pallidipes
5204,Horornis acanthizoides
5205,Horornis annae
5206,Horornis brunnescens
5207,Horornis canturians
5208,Horornis carolinae
5209,Horornis diphone
5210,Horornis flavolivaceus
5211,Horornis fortipes
5212,Horornis haddeni
5213,Horornis parens
5214,Horornis ruficapilla
5215,Horornis seebohmi
5216,Hylia prasina
5217,Pholidornis rushiae
5218,Phyllergates cucullatus
5219,Phyllergates heterolaemus
5220,Scotocerca inquieta
5221,Tesia cyaniventer
5222,Tesia everetti
5223,Tesia olivea
5224,Tesia superciliaris
5225,Tickellia hodgsoni
5226,Urosphena squameiceps
5227,Urosphena subulata
5228,Urosphena whiteheadi
5229,Salpornis salvadori
5230,Salpornis spilonota
5231,Sitta arctica
5232,Sitta azurea
5233,Sitta canadensis
5234,Sitta carolinensis
5235,Sitta cashmirensis
5236,Sitta castanea
5237,Sitta cinnamoventris
5238,Sitta europaea
5239,Sitta formosa
5240,Sitta frontalis
5241,Sitta himalayensis
5242,Sitta insularis
5243,Sitta krueperi
5244,Sitta ledanti
5245,Sitta leucopsis
5246,Sitta magna
5247,Sitta nagaensis
5248,Sitta neglecta
5249,Sitta neumayer
5250,Sitta oenochlamys
5251,Sitta przewalskii
5252,Sitta pusilla
5253,Sitta pygmaea
5254,Sitta solangiae
5255,Sitta tephronota
5256,Sitta victoriae
5257,Sitta villosa
5258,Sitta whiteheadi
5259,Sitta yunnanensis
5260,Tichodroma muraria
5261,Spindalis dominicensis
5262,Spindalis nigricephala
5263,Spindalis portoricensis
5264,Spindalis zena
5265,Chelidorhynx hypoxanthus
5266,Culicicapa ceylonensis
5267,Culicicapa helianthea
5268,Elminia albicauda
5269,Elminia albiventris
5270,Elminia albonotata
5271,Elminia longicauda
5272,Elminia nigromitrata
5273,Stenostira scita
5274,Acridotheres albocinctus
5275,Acridotheres burmannicus
