,Species1
524,Todus subulatus
525,Todus todus
526,Caracara cheriway
527,Caracara plancus
528,Daptrius ater
529,Falco alopex
530,Falco amurensis
531,Falco araeus
532,Falco ardosiaceus
533,Falco berigora
534,Falco biarmicus
535,Falco cenchroides
536,Falco cherrug
537,Falco chicquera
538,Falco columbarius
539,Falco concolor
540,Falco cuvierii
541,Falco deiroleucus
542,Falco dickinsoni
543,Falco eleonorae
544,Falco fasciinucha
545,Falco femoralis
546,Falco hypoleucos
547,Falco jugger
548,Falco longipennis
549,Falco mexicanus
550,Falco moluccensis
551,Falco naumanni
552,Falco newtoni
553,Falco novaeseelandiae
554,Falco peregrinus
555,Falco punctatus
556,Falco ruficollis
557,Falco rufigularis
558,Falco rupicoloides
559,Falco rusticolus
560,Falco severus
561,Falco sparverius
562,Falco subbuteo
563,Falco subniger
564,Falco tinnunculus
565,Falco vespertinus
566,Falco zoniventris
567,Herpetotheres cachinnans
568,Ibycter americanus
569,Micrastur buckleyi
570,Micrastur gilvicollis
571,Micrastur mintoni
572,Micrastur mirandollei
573,Micrastur plumbeus
574,Micrastur ruficollis
575,Micrastur semitorquatus
576,Microhierax caerulescens
577,Microhierax erythrogenys
578,Microhierax fringillarius
579,Microhierax latifrons
580,Microhierax melanoleucos
581,Milvago chimachima
582,Phalcoboenus albogularis
583,Phalcoboenus australis
584,Phalcoboenus carunculatus
585,Phalcoboenus chimango
586,Phalcoboenus megalopterus
587,Polihierax insignis
588,Polihierax semitorquatus
589,Spiziapteryx circumcincta
590,Leptosomus discolor
591,Acanthisitta chloris
592,Xenicus gilviventris
593,Acanthiza apicalis
594,Acanthiza chrysorrhoa
595,Acanthiza cinerea
596,Acanthiza ewingii
597,Acanthiza inornata
598,Acanthiza iredalei
599,Acanthiza katherina
600,Acanthiza lineata
601,Acanthiza murina
602,Acanthiza nana
603,Acanthiza pusilla
604,Acanthiza reguloides
605,Acanthiza robustirostris
606,Acanthiza uropygialis
607,Acanthornis magna
608,Aphelocephala leucopsis
609,Aphelocephala nigricincta
610,Aphelocephala pectoralis
611,Calamanthus campestris
612,Calamanthus cautus
613,Calamanthus fuliginosus
614,Calamanthus montanellus
615,Calamanthus pyrrhopygius
616,Crateroscelis murina
617,Crateroscelis nigrorufa
618,Crateroscelis robusta
619,Gerygone albofrontata
620,Gerygone chloronota
621,Gerygone chrysogaster
622,Gerygone citrina
623,Gerygone dorsalis
624,Gerygone flavolateralis
625,Gerygone fusca
626,Gerygone hypoxantha
627,Gerygone igata
628,Gerygone inornata
629,Gerygone levigaster
630,Gerygone magnirostris
631,Gerygone modesta
632,Gerygone mouki
633,Gerygone olivacea
634,Gerygone palpebrosa
635,Gerygone ruficollis
636,Gerygone sulphurea
637,Gerygone tenebrosa
638,Oreoscopus gutturalis
639,Origma solitaria
640,Pachycare flavogriseum
641,Pycnoptilus floccosus
642,Pyrrholaemus brunneus
643,Pyrrholaemus sagittatus
644,Sericornis arfakianus
645,Sericornis beccarii
646,Sericornis citreogularis
647,Sericornis frontalis
648,Sericornis humilis
649,Sericornis keri
650,Sericornis magnirostra
651,Sericornis nouhuysi
652,Sericornis papuensis
653,Sericornis perspicillatus
654,Sericornis rufescens
655,Sericornis spilodera
656,Smicrornis brevirostris
657,Acrocephalus aequinoctialis
658,Acrocephalus agricola
659,Acrocephalus arundinaceus
660,Acrocephalus atyphus
661,Acrocephalus australis
662,Acrocephalus bistrigiceps
663,Acrocephalus brevipennis
664,Acrocephalus caffer
665,Acrocephalus concinens
666,Acrocephalus dumetorum
667,Acrocephalus familiaris
668,Acrocephalus gracilirostris
669,Acrocephalus griseldis
670,Acrocephalus hiwae
671,Acrocephalus kerearako
672,Acrocephalus longirostris
673,Acrocephalus melanopogon
674,Acrocephalus mendanae
675,Acrocephalus newtoni
676,Acrocephalus orientalis
677,Acrocephalus orinus
678,Acrocephalus paludicola
679,Acrocephalus palustris
680,Acrocephalus percernis
681,Acrocephalus rehsei
682,Acrocephalus rimitarae
683,Acrocephalus rodericanus
684,Acrocephalus rufescens
685,Acrocephalus schoenobaenus
686,Acrocephalus scirpaceus
687,Acrocephalus sechellensis
688,Acrocephalus sorghophilus
689,Acrocephalus stentoreus
690,Acrocephalus syrinx
691,Acrocephalus taiti
692,Acrocephalus tangorum
693,Acrocephalus vaughani
694,Arundinax aedon
695,Calamonastides bensoni
696,Calamonastides gracilirostris
697,Hippolais icterina
698,Hippolais languida
699,Hippolais olivetorum
700,Hippolais polyglotta
701,Iduna caligata
702,Iduna natalensis
703,Iduna opaca
704,Iduna pallida
705,Iduna rama
706,Iduna similis
707,Nesillas brevicaudata
708,Nesillas lantzii
709,Nesillas mariae
710,Nesillas typica
711,Aegithalos annamensis
712,Aegithalos bonvaloti
713,Aegithalos caudatus
714,Aegithalos concinnus
715,Aegithalos fuliginosus
716,Aegithalos glaucogularis
717,Aegithalos iouschistos
718,Aegithalos iredalei
719,Aegithalos leucogenys
720,Aegithalos niveogularis
721,Leptopoecile elegans
722,Leptopoecile sophiae
723,Psaltria exilis
724,Psaltriparus minimus
725,Aegithina lafresnayei
726,Aegithina nigrolutea
727,Aegithina tiphia
728,Aegithina viridissima
729,Alaemon alaudipes
730,Alaemon hamertoni
731,Alauda arvensis
732,Alauda gulgula
733,Alauda leucoptera
734,Alauda razae
735,Alaudala raytal
736,Alaudala rufescens
737,Alaudala somalica
738,Ammomanes cinctura
739,Ammomanes deserti
740,Ammomanes phoenicura
741,Ammomanopsis grayi
742,Calandrella acutirostris
743,Calandrella blanfordi
744,Calandrella brachydactyla
745,Calandrella cinerea
746,Calandrella dukhunensis
747,Calandrella eremica
748,Calendulauda africanoides
749,Calendulauda albescens
750,Calendulauda alopex
751,Calendulauda burra
752,Calendulauda erythrochlamys
753,Calendulauda poecilosterna
754,Calendulauda sabota
755,Certhilauda chuana
756,Certhilauda curvirostris
757,Certhilauda semitorquata
758,Certhilauda subcoronata
759,Chersomanes albofasciata
760,Chersophilus duponti
761,Eremalauda dunni
762,Eremalauda eremodites
763,Eremophila alpestris
764,Eremophila bilopha
765,Eremopterix australis
766,Eremopterix griseus
767,Eremopterix hova
768,Eremopterix leucopareia
769,Eremopterix leucotis
770,Eremopterix nigriceps
771,Eremopterix signatus
772,Eremopterix verticalis
773,Galerida cristata
774,Galerida deva
775,Galerida magnirostris
776,Galerida malabarica
777,Galerida modesta
778,Galerida theklae
779,Heteromirafra archeri
780,Heteromirafra ruddi
781,Lullula arborea
782,Melanocorypha bimaculata
783,Melanocorypha calandra
784,Melanocorypha maxima
785,Melanocorypha mongolica
786,Melanocorypha yeltoniensis
787,Mirafra affinis
788,Mirafra africana
789,Mirafra albicauda
790,Mirafra angolensis
791,Mirafra apiata
792,Mirafra ashi
793,Mirafra assamica
794,Mirafra cheniana
795,Mirafra collaris
796,Mirafra cordofanica
797,Mirafra erythrocephala
798,Mirafra erythroptera
799,Mirafra fasciolata
800,Mirafra gilletti
801,Mirafra hypermetra
802,Mirafra javanica
803,Mirafra microptera
804,Mirafra passerina
805,Mirafra pulpa
806,Mirafra rufa
807,Mirafra rufocinnamomea
808,Mirafra sharpii
809,Mirafra somalica
810,Mirafra williamsi
811,Pinarocorys erythropygia
812,Pinarocorys nigricans
813,Ramphocoris clotbey
814,Spizocorys conirostris
815,Spizocorys fremantlii
816,Spizocorys fringillaris
817,Spizocorys obbiensis
818,Spizocorys personata
819,Spizocorys sclateri
820,Spizocorys starki
821,Artamus cinereus
822,Artamus cyanopterus
823,Artamus fuscus
824,Artamus insignis
825,Artamus leucoryn
826,Artamus maximus
827,Artamus mentalis
828,Artamus minor
829,Artamus monachus
830,Artamus personatus
831,Artamus superciliosus
832,Cracticus argenteus
833,Cracticus cassicus
834,Cracticus louisiadensis
835,Cracticus mentalis
836,Cracticus nigrogularis
837,Cracticus torquatus
838,Gymnorhina tibicen
839,Melloria quoyi
840,Peltops blainvillii
841,Peltops montanus
842,Strepera fuliginosa
843,Strepera graculina
844,Strepera versicolor
845,Atrichornis clamosus
846,Atrichornis rufescens
847,Bernieria madagascariensis
848,Crossleyia tenebrosa
849,Crossleyia xanthophrys
850,Cryptosylvicola randrianasoloi
851,Hartertula flavoviridis
852,Oxylabes madagascariensis
853,Randia pseudozosterops
854,Thamnornis chloropetoides
855,Xanthomixis apperti
856,Xanthomixis cinereiceps
857,Xanthomixis zosterops
858,Bombycilla cedrorum
859,Bombycilla garrulus
860,Bombycilla japonica
861,Buphagus africanus
862,Buphagus erythrorynchus
863,Calcarius lapponicus
864,Calcarius ornatus
865,Calcarius pictus
866,Plectrophenax hyperboreus
867,Plectrophenax nivalis
868,Rhynchophanes mccownii
869,Callaeas cinereus
870,Callaeas wilsoni
871,Philesturnus carunculatus
872,Philesturnus rufusater
873,Calyptomena hosii
874,Calyptomena viridis
875,Calyptomena whiteheadi
876,Smithornis capensis
877,Smithornis rufolateralis
878,Smithornis sharpei
