,SpeciesName,NumReferences,NumChar,NumWords,Error
335,Colius striatus,6,3387,568,200
336,Urocolius indicus,4,1596,266,200
337,Urocolius macrourus,14,7062,1105,200
338,Actenoides bougainvillei,6,2381,377,200
339,Actenoides capucinus,3,622,90,200
340,Actenoides concretus,2,765,118,200
341,Actenoides excelsus,9,1405,224,200
342,Actenoides hombroni,4,2359,382,200
343,Actenoides lindsayi,4,2540,427,200
344,Actenoides monachus,2,656,103,200
345,Actenoides princeps,5,2293,367,200
346,Actenoides regalis,3,600,83,200
347,Alcedo atthis,24,12704,2117,200
348,Alcedo coerulescens,7,1477,232,200
349,Alcedo euryzona,6,1327,205,200
350,Alcedo hercules,14,7494,1279,200
351,Alcedo meninting,10,2537,391,200
352,Alcedo peninsulae,2,5704,876,200
353,Alcedo quadribrachys,6,763,113,200
354,Alcedo semitorquata,7,1535,250,200
355,Caridonax fulgidus,2,541,86,200
356,Ceryle rudis,26,5078,817,200
357,Ceyx argentatus,4,2391,363,200
358,Ceyx azureus,6,3661,600,200
359,Ceyx cajeli,4,849,132,200
360,Ceyx collectoris,4,880,136,200
361,Ceyx cyanopectus,4,1117,177,200
362,Ceyx dispar,4,848,131,200
363,Ceyx erithaca,20,9874,1522,200
364,Ceyx fallax,3,476,68,200
365,Ceyx flumenicola,4,2525,379,200
366,Ceyx gentianus,6,1309,202,200
367,Ceyx lepidus,6,1992,325,200
368,Ceyx margarethae,5,1474,235,200
369,Ceyx meeki,5,880,136,200
370,Ceyx melanurus,12,2764,433,200
372,Ceyx mulcatus,4,897,140,200
374,Ceyx nigromaxilla,4,976,147,200
375,Ceyx pusillus,10,3548,580,200
376,Ceyx sacerdotis,4,874,136,200
377,Ceyx sangirensis,1,331,51,200
378,Ceyx solitarius,4,920,140,200
379,Ceyx wallacii,4,937,146,200
380,Ceyx websteri,2,367,56,200
381,Chloroceryle aenea,11,4365,719,200
382,Chloroceryle amazona,9,3415,578,200
383,Chloroceryle americana,14,6003,1006,200
384,Chloroceryle inda,12,4621,714,200
385,Cittura cyanotis,5,1527,257,200
386,Cittura sanghirensis,3,549,82,200
387,Clytoceyx rex,5,1824,286,200
388,Corythornis cristatus,14,3063,497,200
389,Corythornis leucogaster,5,678,104,200
390,Corythornis madagascariensis,5,711,111,200
391,Corythornis nais,4,551,89,200
392,Corythornis thomensis,5,650,99,200
393,Corythornis vintsioides,6,1111,173,200
394,Dacelo gaudichaud,5,2340,365,200
395,Dacelo leachii,13,4264,710,200
396,Dacelo novaeguineae,49,19961,3151,200
397,Dacelo tyro,4,708,112,200
398,Halcyon albiventris,9,2625,410,200
399,Halcyon badia,3,2565,425,200
400,Halcyon chelicuti,15,5100,842,200
401,Halcyon coromanda,2,1414,225,200
402,Halcyon cyanoventris,18,8654,1270,200
403,Halcyon gularis,3,474,69,200
404,Halcyon leucocephala,8,2934,449,200
405,Halcyon malimbica,2,1161,196,200
406,Halcyon pileata,18,3457,540,200
407,Halcyon senegalensis,6,3376,538,200
408,Halcyon senegaloides,6,2723,437,200
409,Halcyon smyrnensis,40,6458,1023,200
410,Ispidina lecontei,7,1009,150,200
411,Ispidina picta,10,3157,518,200
413,Lacedo pulchella,9,2450,415,200
414,Megaceryle alcyon,23,4459,716,200
415,Megaceryle lugubris,8,1754,299,200
416,Megaceryle maxima,5,1768,310,200
417,Megaceryle torquata,23,6682,1013,200
418,Melidora macrorrhina,6,1596,267,200
419,Pelargopsis amauroptera,4,583,86,200
420,Pelargopsis capensis,13,2488,396,200
421,Pelargopsis melanorhyncha,2,811,116,200
422,Syma megarhyncha,12,4792,783,200
423,Syma torotoro,4,1632,264,200
424,Tanysiptera carolinae,4,2313,377,200
425,Tanysiptera danae,10,3171,499,200
426,Tanysiptera ellioti,4,1072,167,200
427,Tanysiptera galatea,9,5883,964,200
428,Tanysiptera hydrocharis,1,386,60,200
429,Tanysiptera nigriceps,6,1524,232,200
430,Tanysiptera nympha,1,364,54,200
431,Tanysiptera riedelii,5,2460,414,200
432,Tanysiptera sylvia,35,8674,1362,200
433,Todiramphus albonotatus,2,759,125,200
434,Todiramphus australasia,2,419,63,200
435,Todiramphus chloris,10,4591,740,200
436,Todiramphus cinnamominus,10,2930,436,200
437,Todiramphus diops,2,417,63,200
438,Todiramphus enigma,2,470,72,200
439,Todiramphus farquhari,1,1547,274,200
440,Todiramphus funebris,1,1148,176,200
441,Todiramphus gambieri,1,1952,297,200
442,Todiramphus godeffroyi,3,1705,271,200
443,Todiramphus lazuli,1,1079,164,200
444,Todiramphus leucopygius,1,318,47,200
445,Todiramphus macleayii,11,3303,544,200
446,Todiramphus nigrocyaneus,2,1163,179,200
447,Todiramphus pelewensis,5,959,139,200
448,Todiramphus pyrrhopygius,12,4070,652,200
449,Todiramphus recurvirostris,2,669,101,200
450,Todiramphus reichenbachii,1,1130,165,200
451,Todiramphus ruficollaris,1,1051,159,200
452,Todiramphus sanctus,18,5179,813,200
453,Todiramphus saurophagus,2,312,47,200
454,Todiramphus tutus,11,2588,402,200
455,Todiramphus veneratus,9,2274,358,200
456,Todiramphus winchelli,8,3236,500,200
458,Atelornis crossleyi,5,2125,345,200
459,Atelornis pittoides,3,2160,367,200
460,Brachypteracias leptosomus,9,3054,507,200
461,Geobiastes squamiger,10,3280,522,200
462,Uratelornis chimaera,28,13649,2181,200
463,Coracias abyssinicus,5,2533,417,200
464,Coracias affinis,10,2327,375,200
465,Coracias benghalensis,65,15101,2461,200
466,Coracias caudatus,20,9368,1464,200
467,Coracias cyanogaster,10,2881,458,200
468,Coracias garrulus,28,8301,1313,200
469,Coracias naevius,7,2567,415,200
470,Coracias spatulatus,6,3532,567,200
471,Coracias temminckii,8,1859,284,200
