SpeciesName,NumRef
Dicrurus megarhynchus,1
Dicrurus modestus,1
Dicrurus montanus,1
Dicrurus striatus,1
Dicrurus sumatranus,1
Dicrurus waldenii,1
Emberiza affinis,1
Emberiza cabanisi,2
Emberiza chrysophrys,2
Emberiza cia,2
Emberiza cineracea,1
Emberiza cioides,2
Emberiza flaviventris,1
Emberiza godlewskii,1
Emberiza goslingi,2
Emberiza impetuani,1
Emberiza lathami,1
Emberiza poliopleura,1
Emberiza rustica,2
Emberiza rutila,1
Emberiza siemsseni,1
Emberiza socotrana,1
Emberiza stewarti,1
Emberiza sulphurata,1
Emberiza tristrami,2
Emberiza variabilis,1
Amandava subflava,2
Clytospiza monteiri,2
Coccopygia bocagei,1
Coccopygia melanotis,1
Coccopygia quartinia,2
Cryptospiza jacksoni,1
Cryptospiza reichenovii,1
Erythrura cyaneovirens,1
Erythrura hyperythra,1
Erythrura papuana,2
Erythrura tricolor,1
Estrilda atricapilla,1
Estrilda charmosyna,2
Estrilda coerulescens,1
Estrilda kandti,0
Estrilda melpoda,2
Estrilda nigriloris,1
Estrilda nonnula,1
Estrilda perreini,2
Estrilda poliopareia,1
Estrilda rhodopyga,1
Estrilda rufibarba,1
Estrilda thomensis,1
Euschistospiza cinereovinacea,1
Euschistospiza dybowskii,2
Hypargos margaritatus,2
Hypargos niveoguttatus,1
Lagonosticta larvata,1
Lagonosticta nitidula,1
Lagonosticta rara,1
Lagonosticta rhodopareia,2
Lagonosticta umbrinodorsalis,2
Lagonosticta vinacea,1
Lagonosticta virata,1
Lepidopygia nana,1
Lonchura caniceps,1
Lonchura ferruginosa,1
Lonchura flaviprymna,1
Lonchura forbesi,1
Lonchura fuscata,1
Lonchura grandis,1
Lonchura kelaarti,2
Lonchura melaena,1
Lonchura montana,1
Lonchura monticola,1
Lonchura nevermanni,1
Lonchura pallida,1
Lonchura quinticolor,1
Lonchura spectabilis,1
Lonchura stygia,1
Lonchura teerinki,1
Lonchura tristissima,1
Lonchura vana,1
Mandingoa nitidula,1
Nesocharis ansorgei,1
Nesocharis capistrata,1
Nesocharis shelleyi,1
Nigrita bicolor,1
Nigrita canicapillus,1
Nigrita fusconotus,1
Nigrita luteifrons,1
Odontospiza griseicapilla,1
Oreostruthus fuliginosus,1
Ortygospiza atricollis,1
Parmoptila woodhousei,1
Poephila personata,1
Pytilia hypogrammica,1
Pytilia lineata,1
Pytilia phoenicoptera,1
Spermestes fringilloides,1
Spermophaga poliogenys,1
Spermophaga ruficapilla,1
Stagonopleura oculata,1
Uraeginthus cyanocephalus,2
Corydon sumatranus,2
Cymbirhynchus affinis,1
Cymbirhynchus macrorhynchos,1
Eurylaimus ochromalus,1
Falcunculus leucogaster,1
Falcunculus whitei,1
Chamaeza campanisona,1
Chamaeza mollissima,1
Chamaeza nobilis,2
Chamaeza ruficauda,1
Chamaeza turdina,2
Formicarius nigricapillus,1
Formicarius rufifrons,1
Formicarius rufipectus,1
Callacanthis burtoni,2
Carduelis corsicana,2
Carpodacus edwardsii,1
Carpodacus formosanus,0
Carpodacus pulcherrimus,1
Carpodacus puniceus,1
Carpodacus rhodochlamys,1
Carpodacus rodopeplus,2
Carpodacus roseus,2
Carpodacus rubicilla,2
Carpodacus rubicilloides,2
Carpodacus stoliczkae,0
Carpodacus synoicus,1
Carpodacus thura,1
Carpodacus trifasciatus,1
Carpodacus verreauxii,2
Carpodacus vinaceus,1
Carpodacus waltoni,1
Chlorophonia cyanea,1
Chlorophonia flavirostris,1
Chlorophonia occipitalis,1
Chlorophonia pyrrhophrys,1
Crithagra striatipectus,2
Eophona personata,1
Euphonia anneae,1
Euphonia cayennensis,1
Euphonia chalybea,1
Euphonia chrysopasta,1
Euphonia concinna,1
Euphonia cyanocephala,2
Euphonia elegantissima,2
Euphonia finschi,2
Euphonia fulvicrissa,1
Euphonia gouldi,1
Euphonia imitans,1
Euphonia laniirostris,2
Euphonia mesochrysa,1
Euphonia minuta,2
Euphonia pectoralis,1
Euphonia plumbea,1
Euphonia rufiventris,1
Euphonia saturata,1
Euphonia trinitatis,1
Euphonia violacea,2
Euphonia xanthogaster,2
Haemorhous cassinii,2
Leucosticte arctoa,1
Leucosticte australis,1
Leucosticte brandti,1
Leucosticte nemoricola,1
Loxia megaplaga,2
Loxops coccineus,2
Manucerthia mana,2
Mycerobas carnipes,1
Mycerobas icterioides,1
Mycerobas melanozanthos,1
Pyrrhoplectes epauletta,1
Pyrrhula aurantiaca,2
Pyrrhula erythaca,2
Pyrrhula erythrocephala,1
Pyrrhula nipalensis,1
Rhodopechys sanguineus,2
Rhodospiza obsoleta,1
Serinus alario,1
Serinus canicollis,2
Serinus flavivertex,1
Serinus nigriceps,1
Serinus pusillus,1
Serinus syriacus,1
Spinus atriceps,1
Spinus barbatus,2
Spinus crassirostris,2
Spinus dominicensis,1
Spinus notatus,2
Spinus olivaceus,2
Spinus uropygialis,1
Telespiza cantans,2
Telespiza ultima,1
Cinclodes albidiventris,1
Furnarius minor,2
Synallaxis beverlyae,1
Synallaxis courseni,1
Synallaxis maranonica,1
Xiphorhynchus beauperthuysii,1
Grallaria albigula,1
Grallaria alleni,1
Grallaria alticola,2
Grallaria andicolus,2
Grallaria atuensis,2
Grallaria bangsi,2
Grallaria blakei,2
Grallaria capitalis,1
Grallaria carrikeri,1
Grallaria dignissima,1
Grallaria eludens,1
Grallaria erythroleuca,1
Grallaria erythrotis,2
Grallaria excelsa,1
Grallaria flavotincta,1
Grallaria griseonucha,1
Grallaria guatimalensis,1
Grallaria haplonota,1
Grallaria hypoleuca,1
Grallaria milleri,1
Grallaria nuchalis,2
Grallaria przewalskii,1
Grallaria quitensis,2
Grallaria ruficapilla,2
Grallaria squamigera,1
Grallaricula cucullata,1
Grallaricula cumanensis,2
Grallaricula ferrugineipectus,2
Grallaricula flavirostris,1
Grallaricula leymebambae,2
Grallaricula lineifrons,1
Grallaricula loricata,1
Grallaricula ochraceifrons,1
Grallaricula peruviana,1
Hylopezus auricularis,1
Hylopezus berlepschi,1
Hylopezus dives,1
Hylopezus fulviventris,2
Hylopezus macularius,1
Hylopezus nattereri,1
Hylopezus ochroleucus,1
Hylopezus perspicillatus,2
Myrmothera simplex,2
Atronanus fuliginosus,2
Atticora pileata,2
Atticora tibialis,1
Cecropis abyssinica,1
Eurochelidon sirintarae,1
Hirundo aethiopica,2
Hirundo albigularis,1
Hirundo dimidiata,1
Hirundo nigrita,1
Hirundo nigrorufa,1
Orochelidon andecola,2
Orochelidon murina,1
Petrochelidon ariel,2
Petrochelidon preussi,1
Petrochelidon rufigula,1
Petrochelidon rufocollaris,1
Progne elegans,1
Progne modesta,1
Progne murphyi,1
Psalidoprocne albiceps,2
Psalidoprocne fuliginosa,2
Psalidoprocne obscura,1
Psalidoprocne pristoptera,1
Pseudhirundo griseopyga,2
Ptyonoprogne fuligula,1
Ptyonoprogne obsoleta,1
Riparia chinensis,1
Riparia congica,1
Stelgidopteryx ridgwayi,1
Tachycineta bicolor,1
Tachycineta stolzmanni,1
Hyliota australis,1
Hyliota flavigaster,1
Hyliota usambara,1
Hyliota violacea,1
Agelaioides badius,2
Agelaioides fringillarius,1
Agelasticus thilius,1
Anumara forbesi,1
Cacicus chrysonotus,1
Cacicus chrysopterus,1
Cacicus koepckeae,2
Cacicus latirostris,1
Cacicus leucoramphus,1
Cacicus microrhynchus,2
Cacicus oseryi,1
Cacicus pacificus,2
Chrysomus icterocephalus,2
Curaeus curaeus,1
Dives dives,2
Dives warczewiczi,1
Icterus abeillei,2
Icterus auricapillus,1
Icterus cayanensis,1
Icterus graceannae,2
Icterus maculialatus,1
Icterus nigrogularis,2
Icterus prosthemelas,1
Icterus pyrrhopterus,1
Icterus wagleri,1
Leistes bellicosus,1
Leistes defilippii,1
Leistes loyca,2
Leistes superciliaris,2
Macroagelaius imthurni,1
Macroagelaius subalaris,2
Molothrus armenti,2
Oreopsar bolivianus,2
Psarocolius angustifrons,1
Psarocolius bifasciatus,1
Psarocolius cassini,2
Psarocolius wagleri,2
Psarocolius yuracares,1
Pseudoleistes virescens,1
Quiscalus lugubris,2
Quiscalus nicaraguensis,1
Irena cyanogastra,2
Irena tweeddalii,1
Eurocephalus anguitimens,2
Eurocephalus ruppelli,1
Lanius bucephalus,2
Lanius collurioides,1
Lanius excubitoroides,2
Lanius giganteus,2
Lanius sphenocercus,2
Urolestes melanoleucus,2
Actinodura egertoni,1
Actinodura ramsayi,2
Alcippe brunneicauda,2
Alcippe grotei,1
Alcippe nipalensis,1
Alcippe peracensis,1
Alcippe pyrrhoptera,1
Chrysominla strigula,2
Garrulax annamensis,1
Garrulax calvus,1
Garrulax castanotis,1
Garrulax ferrarius,1
Garrulax lugubris,1
Garrulax maesi,1
Garrulax merulinus,1
Garrulax milleti,1
Garrulax monileger,2
Heterophasia capistrata,2
Heterophasia desgodinsi,2
Heterophasia gracilis,1
Heterophasia melanoleuca,1
Heterophasia picaoides,2
Heterophasia pulchella,1
Liocichla ripponi,1
Liocichla steerii,1
Minla ignotincta,2
Sibia morrisoniana,1
Sibia nipalensis,1
Sibia waldeni,1
Trochalopteron affine,1
Trochalopteron austeni,2
Trochalopteron chrysopterum,1
Trochalopteron elliotii,2
Trochalopteron erythrocephalum,2
Trochalopteron formosum,2
Trochalopteron henrici,2
Trochalopteron imbricatum,2
Trochalopteron lineatum,2
Trochalopteron melanostigma,1
Trochalopteron ngoclinhense,1
Trochalopteron peninsulae,0
Trochalopteron squamatum,2
Trochalopteron subunicolor,1
Trochalopteron variegatum,2
Trochalopteron virgatum,1
Trochalopteron yersini,1
Turdoides gymnogenys,1
Turdoides hartlaubii,2
Turdoides hindei,2
Turdoides hypoleuca,1
Turdoides jardineii,1
Turdoides leucocephala,2
Turdoides leucopygia,2
Turdoides reinwardtii,1
Turdoides squamulata,1
Turdoides tenebrosa,1
Amphilais seebohmi,1
Bradypterus alfredi,1
Bradypterus baboecala,2
Bradypterus bangwaensis,2
Bradypterus brunneus,1
Bradypterus carpalis,1
Bradypterus centralis,1
Bradypterus cinnamomeus,1
Bradypterus grandis,1
Bradypterus lopezi,1
Buettikoferella bivittata,1
Cincloramphus macrurus,1
Locustella accentor,2
Locustella amnicola,1
Locustella caudata,1
Locustella davidi,1
Locustella fasciolata,1
Locustella kashmirensis,1
Locustella luteoventris,1
Locustella mandelli,2
Locustella montis,2
Locustella pleskei,1
Locustella pryeri,1
Locustella tacsanowskia,1
Locustella thoracica,2
Megalurulus llaneae,2
Megalurulus mariae,1
Megalurulus rubiginosus,1
Megalurulus turipavae,2
Megalurulus whitneyi,2
Poodytes carteri,2
Poodytes punctatus,1
Cryptillas victorini,2
Macrosphenus concolor,1
Macrosphenus kempi,1
Macrosphenus kretschmeri,1
Macrosphenus pulitzeri,1
Melocichla mentalis,1
Sylvietta brachyura,1
Sylvietta denti,1
Sylvietta leucophrys,1
Sylvietta philippae,2
Sylvietta rufescens,1
Sylvietta ruficapilla,1
Sylvietta virens,1
Sylvietta whytii,2
Chlorophoneus bocagei,1
Chlorophoneus multicolor,1
Chlorophoneus nigrifrons,2
Chlorophoneus olivaceus,2
Chlorophoneus sulfureopectus,2
Dryoscopus angolensis,1
Dryoscopus pringlii,1
Dryoscopus sabini,1
Dryoscopus senegalensis,1
Laniarius amboimensis,1
Laniarius atroflavus,2
Laniarius brauni,2
Laniarius erythrogaster,2
Laniarius holomelas,2
Laniarius leucorhynchus,1
Laniarius luehderi,2
Laniarius mufumbiri,2
Laniarius turatii,2
Malaconotus cruentus,1
Malaconotus lagdeni,1
Nilaus afer,2
Rhodophoneus cruentus,1
Tchagra australis,1
Tchagra tchagra,1
Amytornis ballarae,1
Amytornis dorotheae,1
Amytornis merrotsyi,2
Melanocharis arfakiana,2
Melanocharis longicauda,1
Melanocharis nigra,1
Melanocharis striativentris,1
Melanocharis versteri,1
Oedistoma iliolophus,1
Oedistoma pygmaeum,2
Rhamphocharis piperata,2
Toxorhamphus novaeguineae,1
Toxorhamphus poliopterus,1
Acanthorhynchus superciliosus,1
Conopophila rufogularis,2
Foulehaio procerior,1
Foulehaio taviunensis,1
Lichmera alboauricularis,2
Lichmera argentauris,1
Lichmera deningeri,1
Lichmera flavicans,1
Lichmera incana,1
Lichmera lombokia,2
Lichmera monticola,1
Lichmera notabilis,1
Lichmera squamata,1
Meliarchus sclateri,1
Melidectes belfordi,2
Melidectes foersteri,1
Melidectes leucostephes,1
Melidectes ochromelas,1
Melidectes rufocrissalis,1
Melidectes torquatus,1
Melilestes megarhynchus,2
Meliphaga aruensis,1
Meliphaga lewinii,1
Melipotes ater,1
Melipotes gymnops,1
Microptilotis albonotatus,1
Microptilotis analogus,1
Microptilotis cinereifrons,1
Microptilotis flavirictus,1
Microptilotis gracilis,1
Microptilotis imitatrix,1
Microptilotis mimikae,1
Microptilotis montanus,1
Microptilotis orientalis,1
Microptilotis vicina,1
Myza sarasinorum,2
Myzomela adolphinae,2
Myzomela albigula,1
Myzomela batjanensis,1
Myzomela blasii,1
Myzomela boiei,1
Myzomela caledonica,2
Myzomela chermesina,1
Myzomela chloroptera,1
Myzomela cineracea,2
Myzomela dammermani,2
Myzomela eichhorni,1
Myzomela eques,1
Myzomela erythromelas,1
Myzomela kuehni,1
Myzomela lafargei,1
Myzomela longirostris,2
Myzomela malaitae,1
Myzomela melanocephala,1
Myzomela nigrita,2
Myzomela obscura,2
Myzomela pammelaena,1
Myzomela prawiradilagae,2
Myzomela pulchella,1
Myzomela rosenbergii,2
Myzomela rubratra,2
Myzomela rubrobrunnea,2
Myzomela rubrotincta,2
Myzomela sclateri,1
Myzomela tristrami,1
Myzomela vulnerata,1
Myzomela wakoloensis,1
Oreornis chrysogenys,2
Philemon argenticeps,2
Philemon brassi,2
Philemon cockerelli,1
Philemon diemenensis,1
Philemon eichhorni,1
Philemon fuscicapillus,2
Philemon kisserensis,1
Philemon meyeri,2
Ptiloprora erythropleura,1
Ptiloprora guisei,1
Ptiloprora meekiana,1
Ptiloprora perstriata,1
Ptiloprora plumbea,1
Pycnopygius cinereus,1
Pycnopygius ixoides,1
Pycnopygius stictocephalus,1
Ramsayornis fasciatus,2
Ramsayornis modestus,1
Stresemannia bougainvillei,2
Timeliopsis fulvigula,1
Timeliopsis griseigula,1
Xanthotis flaviventer,1
Xanthotis macleayanus,1
Melanoptila glabrirostris,1
Mimus graysoni,1
Kakamega poliothorax,1
Arses insularis,2
Chasiempis ibidis,2
Chasiempis sclateri,2
Clytorhynchus hamlini,1
Clytorhynchus nigrogularis,2
Clytorhynchus pachycephaloides,2
Clytorhynchus sanctaecrucis,2
Clytorhynchus vitiensis,2
Grallina bruijnii,2
Grallina cyanoleuca,1
Mayrornis lessoni,2
Mayrornis schistaceus,1
Mayrornis versicolor,1
Metabolus godeffroyi,1
Metabolus takatsukasae,2
Monarcha cinerascens,2
Monarcha frater,2
Monarcha richardsii,2
Myiagra albiventris,1
Myiagra alecto,2
Myiagra atra,1
Myiagra caledonica,2
Myiagra cervinicauda,1
Myiagra cervinicolor,2
Myiagra eichhorni,2
Myiagra erythrops,2
Myiagra ferrocyanea,2
Myiagra galeata,2
Myiagra hebetior,2
Myiagra pluto,1
Myiagra vanikorensis,1
Neolalage banksiana,2
Pomarea iphis,2
