SpeciesName,NumberRef
Thripadectes rufobrunneus,8
Thripadectes scrutator,8
Thripophaga cherriei,6
Xenerpestes minlosi,6
Xenops minutus,7
Xenops tenuirostris,6
Xiphorhynchus atlanticus,6
Xiphorhynchus chunchotambo,8
Xiphorhynchus elegans,7
Xiphorhynchus guttatoides,7
Xiphorhynchus obsoletus,7
Xiphorhynchus pardalotus,6
Xiphorhynchus spixii,7
Xiphorhynchus susurrans,9
Xiphorhynchus triangularis,6
Grallaria gigantea,6
Grallaria kaestneri,10
Grallaria rufula,6
Grallaria saltuensis,6
Grallaria varia,7
Myrmothera campanisona,7
Cecropis cucullata,6
Cecropis senegalensis,10
Delichon lagopodum,6
Hirundo leucosoma,8
Hirundo smithii,6
Hirundo tahitica,6
Neophedina cincta,8
Petrochelidon fulva,10
Petrochelidon nigricans,7
Progne chalybea,10
Progne dominicensis,9
Pygochelidon cyanoleuca,10
Pygochelidon melanoleuca,6
Riparia paludicola,7
Tachycineta cyaneoviridis,6
Tachycineta meyeni,6
Hylocitrea bonensis,6
Agelaius xanthomus,9
Amblycercus holosericeus,6
Cacicus haemorrhous,7
Euphagus carolinus,7
Icterus bonana,6
Icterus chrysater,9
Icterus chrysocephalus,8
Icterus croconotus,7
Icterus gularis,6
Icterus icterus,6
Icterus melanopsis,10
Icterus portoricensis,9
Leistes militaris,9
Molothrus oryzivorus,8
Psarocolius montezuma,8
Quiscalus major,9
Xanthopsar flavus,10
Lanius gubernator,7
Lanius souzae,10
Lanius tephronotus,10
Lanius tigrinus,9
Actinodura sodangorum,8
Argya subrufa,7
Garrulax canorus,9
Garrulax courtoisi,6
Garrulax davidi,6
Garrulax perspicillatus,8
Garrulax ruficollis,8
Garrulax rufogularis,7
Garrulax waddelli,6
Garrulax woodi,6
Montecincla jerdoni,6
Trochalopteron milnei,8
Turdoides rufescens,6
Locustella fluviatilis,6
Locustella luscinioides,8
Malia grata,6
Robsonius sorsogonensis,7
Robsonius thompsoni,9
Machaerirhynchus flaviventer,10
Sphenoeacus afer,10
Laniarius aethiopicus,6
Laniarius barbarus,7
Laniarius bicolor,7
Laniarius ferrugineus,7
Laniarius funebris,7
Laniarius nigerrimus,8
Tchagra senegalus,7
Amytornis housei,7
Amytornis purnelli,8
Amytornis textilis,6
Clytomyias insignis,6
Malurus alboscapulatus,8
Malurus amabilis,9
Malurus pulcherrimus,8
Sipodotus wallacii,8
Melanopareia maximiliani,7
Melanopareia torquata,6
Anthochaera chrysoptera,8
Anthochaera lunulata,8
Bolemoreus frenatus,10
Bolemoreus hindwoodi,8
Cissomela pectoralis,10
Epthianura aurifrons,9
Foulehaio carunculatus,6
Gavicalis virescens,8
Gliciphila melanops,7
Melidectes princeps,6
Melithreptus albogularis,10
Melithreptus brevirostris,6
Melithreptus gularis,10
Melithreptus laetior,10
Melithreptus lunatus,9
Melithreptus validirostris,10
Myza celebensis,7
Myzomela cardinalis,7
Nesoptilotis flavicollis,8
Philemon citreogularis,9
Philemon corniculatus,10
Philemon moluccensis,7
Phylidonyris novaehollandiae,8
Ptilotula fusca,7
Ptilotula ornata,8
Purnella albifrons,10
Trichodere cockerelli,7
Vosea whitemanensis,7
Margarops fuscatus,7
Melanotis caerulescens,10
Mimus gilvus,8
Mimus macdonaldi,8
Mimus melanotis,6
Mimus trifasciatus,7
Toxostoma crissale,10
Toxostoma guttatum,9
Toxostoma redivivum,8
Mitrospingus cassinii,7
Mitrospingus oleagineus,7
Orthogonys chloricterus,9
Arses kaupi,9
Carterornis chrysomela,8
Chasiempis sandwichensis,8
Hypothymis coelestis,8
Hypothymis helenae,6
Myiagra azureocapilla,9
Myiagra cyanoleuca,9
Myiagra nana,6
Pomarea nigra,8
Anthus antarcticus,6
Anthus hellmayri,6
Anthus novaeseelandiae,7
Anthus rufulus,10
Anthus spragueii,6
Anthus trivialis,6
Anthus vaalensis,6
Macronyx ameliae,8
Macronyx capensis,9
Agricola infuscatus,7
Brachypteryx montana,7
Calliope calliope,7
Calliope obscura,8
Calliope pectardens,6
Cercotrichas galactotes,6
Cercotrichas leucophrys,7
Copsychus mindanensis,8
Cossypha heinrichi,7
Cossypha heuglini,8
Cyanoptila cyanomelana,6
Cyornis pallidipes,8
Dessonornis humeralis,7
Emarginata schlegelii,8
Emarginata sinuata,9
Emarginata tractrac,8
Enicurus velatus,6
Ficedula albicollis,9
Fraseria caerulescens,10
Heteroxenicus stellatus,8
Kittacincla malabarica,9
Larvivora komadori,6
Larvivora sibilans,8
Luscinia luscinia,10
Melaenornis chocolatinus,7
Melaenornis herero,8
Melaenornis pammelaina,8
Melaenornis silens,6
Monticola gularis,6
Muscicapa dauurica,7
Muscicapa muttui,9
Muscicapa sibirica,6
Myophonus insularis,8
Myrmecocichla monticola,6
Niltava sundara,6
Oenanthe chrysopygia,6
Oenanthe cypriaca,8
Oenanthe deserti,9
Oenanthe hispanica,9
Oenanthe isabellina,7
Oenanthe leucura,6
Oenanthe pleschanka,7
Oenanthe seebohmi,7
Phoenicurus bicolor,7
Phoenicurus moussieri,10
Pinarornis plumosus,7
Pogonocichla stellata,8
Saxicola tectes,7
Stiphrornis erythrothorax,6
Tarsiger chrysaeus,6
Tarsiger indicus,7
Tarsiger rufilatus,8
Thamnolaea cinnamomeiventris,6
Vauriella albigularis,6
Vauriella goodfellowi,6
Vauriella insignis,6
Arachnothera juliae,10
Chalcomitra senegalensis,8
Chalcoparia singalensis,8
Cinnyris batesi,7
Cinnyris idenburgi,6
Cinnyris neergaardi,7
Cinnyris osea,7
Cinnyris sovimanga,10
Drepanorhynchus reichenowi,8
Leptocoma brasiliana,9
Leptocoma calcostetha,8
Leptocoma sperata,8
Nectarinia kilimensis,7
Daphoenositta chrysoptera,6
