SpeciesName,NumberRef
Myrmotherula schisticolor,10
Myrmotherula sclateri,9
Myrmotherula snowi,9
Myrmotherula sunensis,7
Myrmotherula urosticta,6
Neoctantes niger,10
Oneillornis lunulatus,9
Oneillornis salvini,9
Percnostola arenarum,6
Phlegopsis borbae,8
Phlegopsis erythroptera,9
Pyriglena atra,9
Pyriglena leuconota,10
Pyriglena leucoptera,9
Rhegmatorhina berlepschi,8
Rhegmatorhina cristata,9
Rhegmatorhina gymnops,9
Rhegmatorhina hoffmannsi,8
Rhopornis ardesiacus,9
Sakesphorus luctuosus,7
Sipia berlepschi,9
Sipia nigricauda,10
Terenura maculata,6
Thamnomanes ardesiacus,10
Thamnomanes saturninus,6
Thamnomanes schistogynus,6
Thamnophilus ambiguus,7
Thamnophilus aroyae,6
Thamnophilus bridgesi,7
Thamnophilus divisorius,7
Thamnophilus insignis,6
Thamnophilus melanonotus,7
Thamnophilus melanothorax,8
Thamnophilus multistriatus,7
Thamnophilus nigriceps,8
Thamnophilus nigrocinereus,10
Thamnophilus palliatus,7
Thamnophilus pelzelni,6
Thamnophilus praecox,9
Thamnophilus schistaceus,9
Thamnophilus shumbae,7
Thamnophilus stictocephalus,7
Thamnophilus sticturus,8
Thamnophilus tenuepunctatus,8
Thamnophilus torquatus,8
Thamnophilus unicolor,9
Xenornis setifrons,7
Buthraupis montana,6
Calochaetes coccineus,6
Castanozoster thoracicus,6
Catamblyrhynchus diadema,7
Certhidea olivacea,8
Chlorornis riefferii,7
Chrysothlypis chrysomelas,6
Chrysothlypis salmoni,8
Cissopis leverianus,7
Cnemoscopus rubrirostris,6
Compsothraupis loricata,7
Conirostrum binghami,8
Conirostrum sitticolor,9
Coryphaspiza melanotis,7
Cyanerpes caeruleus,9
Cyanicterus cyanicterus,6
Cypsnagra hirundinacea,7
Dacnis cayana,10
Diglossa albilatera,6
Diglossa cyanea,7
Donacospiza albifrons,8
Dubusia taeniata,6
Eucometis penicillata,7
Euneornis campestris,8
Geospiza conirostris,8
Geospiza heliobates,7
Geospiza parvula,7
Geospiza septentrionalis,8
Hemithraupis guira,7
Iridophanes pulcherrimus,7
Lanio fulvus,8
Loxigilla barbadensis,7
Loxigilla noctis,8
Loxipasser anoxanthus,7
Melanospiza bicolor,9
Nemosia pileata,8
Neothraupis fasciata,7
Nephelornis oneilli,6
Orchesticus abeillei,7
Parkerthraustes humeralis,10
Paroaria coronata,8
Paroaria dominicana,6
Phonipara canora,9
Piezorina cinerea,7
Poospiza whitii,8
Pseudosaltator rufiventris,9
Pyrrhulagra nigra,8
Pyrrhulagra violacea,7
Ramphocelus carbo,6
Ramphocelus dimidiatus,7
Rhodospingus cruentus,6
Rhopospina fruticeti,7
Rowettia goughensis,9
Saltator coerulescens,9
Saltator grossus,7
Sericossypha albocristata,6
Sicalis flaveola,8
Sporathraupis cyanocephala,8
Sporophila angolensis,10
Sporophila bouvronides,7
Sporophila collaris,9
Sporophila lineola,6
Sporophila minuta,6
Stephanophorus diadematus,6
Tachyphonus rufus,10
Tangara brasiliensis,8
Tangara cayana,7
Tangara chrysotis,7
Tangara cyanomelas,7
Tangara florida,8
Tangara gyrola,7
Tangara icterocephala,10
Tangara labradorides,7
Tangara lavinia,6
Tangara mexicana,7
Tangara punctata,6
Tangara ruficervix,10
Tangara sayaca,8
Tangara vassorii,7
Tangara velia,7
Tangara xanthocephala,6
Tephrophilus wetmorei,6
Tersina viridis,8
Thlypopsis pyrrhocoma,7
Thlypopsis sordida,8
Trichothraupis melanops,8
Urothraupis stolzmanni,6
Xenodacnis parina,6
Xenospingus concolor,8
Cyanoderma erythropterum,6
Cyanoderma melanothorax,6
Cyanoderma rufifrons,6
Stachyris humei,7
Myiobius barbatus,10
Onychorhynchus swainsoni,7
Pachyramphus niger,6
Pachyramphus rufus,7
Tityra leucura,7
Campylorhynchus capistratus,9
Campylorhynchus humilis,6
Campylorhynchus rufinucha,6
Cantorchilus modestus,6
Cantorchilus nigricapillus,7
Cinnycerthia olivascens,6
Cinnycerthia peruana,6
Cyphorhinus arada,6
Cyphorhinus phaeocephalus,6
Cyphorhinus thoracicus,8
Henicorhina leucophrys,7
Microcerculus bambla,9
Pheugopedius coraya,7
Pheugopedius euophrys,6
Pheugopedius maculipectus,6
Pheugopedius rutilus,6
Pheugopedius sclateri,8
Troglodytes ochraceus,7
Cataponera turdoides,8
Catharus ustulatus,10
Cochoa viridis,7
Geokichla gurneyi,6
Geokichla oberlaenderi,6
Geokichla piaggiae,6
Myadestes genibarbis,7
Myadestes townsendi,6
Psophocichla litsitsirupa,6
Ridgwayia pinicola,8
Sialia mexicana,6
Stizorhina finschi,9
Turdus abyssinicus,9
Turdus albicollis,8
Turdus assimilis,6
Turdus dissimilis,7
Turdus flavipes,9
Turdus lherminieri,6
Turdus mandarinus,6
Turdus obscurus,9
Turdus olivaceus,6
Turdus pallidus,6
Turdus pelios,7
Turdus rufiventris,8
Turdus rufopalliatus,6
Turdus simillimus,6
Zoothera lunulata,6
Anairetes alpinus,8
Attila bolivianus,7
Attila cinnamomeus,6
Calyptura cristata,8
Contopus pallidus,6
Elaenia martinica,6
Empidonax difficilis,9
Empidonax hammondii,10
Empidonax occidentalis,9
Empidonax virescens,8
Fluvicola pica,7
Hirundinea bellicosa,9
Hirundinea ferruginea,9
Hymenops perspicillatus,9
Lessonia rufa,10
Lophotriccus galeatus,9
Mionectes macconnelli,8
Mionectes roraimae,6
Myiarchus apicalis,7
Myiarchus ferox,7
Myiodynastes maculatus,6
Myiodynastes solitarius,6
Myiophobus crypterythrus,6
Myiophobus cryptoxanthus,7
Myiozetetes cayanensis,6
Myiozetetes similis,6
Ochthornis littoralis,7
Philohydor lictor,8
Phylloscartes difficilis,9
Platyrinchus platyrhynchos,7
Poecilotriccus pulchellus,7
Polioxolmis rufipennis,8
Pyrocephalus rubinus,9
Serpophaga nigricans,9
Tachuris rubrigastra,9
Todirostrum cinereum,8
Tyrannus couchii,7
Tyrannus dominicensis,9
Tyrannus tyrannus,10
Tyrannus vociferans,8
Xolmis pyrope,6
Zimmerius parvus,7
Calicalicus madagascariensis,6
Cyanolanius madagascarinus,7
Hemipus hirundinaceus,8
Leptopterus chabert,6
Prionops alberti,10
Schetba rufa,7
Vanga curvirostris,8
Vidua macroura,7
Vidua obtusa,6
Vidua regia,6
Cyclarhis gujanensis,8
Pteruthius aeralatus,9
Vireo bellii,6
Vireo caribaeus,6
Vireo chivi,7
Vireo flavifrons,6
Vireo flavoviridis,8
Vireo masteri,8
Vireo pallens,6
Vireo philadelphicus,6
Zeledonia coronata,7
Dasycrotapha plateni,7
Dasycrotapha speciosa,6
Sterrhoptilus capitalis,6
Yuhina flavicollis,6
Zosterops albogularis,6
Zosterops chloronothos,7
Zosterops conspicillatus,6
Zosterops flavifrons,6
Zosterops flavilateralis,8
Zosterops lateralis,10
Zosterops maderaspatanus,9
Zosterops olivaceus,6
Zosterops saypani,6
Zosterops senegalensis,8
Cyphos macrodactylus,7
Hypnelus bicinctus,6
Hypnelus ruficollis,6
Malacoptila fusca,10
Malacoptila minor,8
Malacoptila striata,8
Monasa atra,9
Nonnula brunnea,6
Nonnula frontalis,7
Nonnula rubecula,8
Nonnula ruficapilla,6
Nonnula sclateri,8
Notharchus hyperrhynchus,6
Notharchus ordii,6
Nystactes noanamae,7
Nystalus chacuru,10
Nystalus radiatus,6
Nystalus striolatus,9
Capito fitzpatricki,7
Capito hypoleucus,9
Capito wallacei,6
Galbula albirostris,7
Galbula dea,9
Jacamaralcyon tridactyla,10
Indicator xanthonotus,10
Cryptolybia olivacea,8
Lybius guifsobalito,7
Lybius torquatus,8
Pogonornis dubius,9
Tricholaema hirsuta,8
Tricholaema leucomelas,10
Psilopogon chrysopogon,8
Psilopogon cyanotis,6
Psilopogon duvaucelii,7
Psilopogon franklinii,10
Psilopogon malabaricus,6
Psilopogon pyrolophus,6
Psilopogon rafflesii,10
Psilopogon rubricapillus,6
Campephilus haematogaster,7
Campephilus splendens,8
Campethera abingoni,9
Campethera maculosa,6
Campethera notata,8
Campethera nubica,8
Campethera scriptoricauda,8
Celeus flavescens,9
Celeus flavus,7
Celeus galeatus,9
Celeus lugubris,10
Celeus obrieni,7
Celeus ochraceus,7
Chrysocolaptes festivus,9
Chrysocolaptes guttacristatus,7
Colaptes aeruginosus,9
Colaptes atricollis,9
Colaptes chrysoides,7
Colaptes cinereicapillus,8
Colaptes fernandinae,7
Colaptes pitius,6
Colaptes punctigula,9
Colaptes rupicola,8
Dendrocopos hyperythrus,6
Dendrocopos noguchii,6
Dendropicos abyssinicus,6
Dendropicos fuscescens,9
Dendropicos goertae,10
Dendropicos griseocephalus,8
Dendropicos obsoletus,10
Dinopium javanense,10
Dinopium psarodes,8
Dryobates nuttallii,6
Hemicircus concretus,8
Hemicircus sordidus,8
Hylatomus schulzii,6
Leiopicus medius,9
Leuconotopicus fumigatus,10
Meiglyptes tristis,7
Melanerpes aurifrons,9
Melanerpes candidus,6
Melanerpes cruentatus,8
Melanerpes herminieri,8
Melanerpes lewis,9
Melanerpes pucherani,7
Melanerpes pygmaeus,7
Melanerpes rubricapillus,6
Melanerpes striatus,7
Melanerpes superciliaris,8
Melanerpes uropygialis,9
Mulleripicus fuliginosus,6
Mulleripicus pulverulentus,6
Picoides arcticus,10
Picoides kizuki,7
Picoides moluccensis,9
Piculus aurulentus,6
Piculus callopterus,6
Piculus chrysochloros,9
Piculus flavigula,10
Piculus leucolaemus,7
Picumnus albosquamatus,6
Picumnus aurifrons,8
Picumnus castelnau,6
Picumnus cirratus,10
Picumnus dorbignyanus,8
Picumnus exilis,7
Picumnus fulvescens,8
Picumnus innominatus,7
Picumnus limae,8
Picumnus minutissimus,6
Picumnus nigropunctatus,9
Picumnus olivaceus,6
Picumnus pumilus,7
Picumnus spilogaster,6
Picumnus squamulatus,7
Picumnus temminckii,7
Picumnus varzeae,8
Picus sharpei,6
Sasia abnormis,6
Sasia ochracea,6
Sphyrapicus ruber,9
Veniliornis affinis,8
Veniliornis callonotus,7
Veniliornis cassini,9
Veniliornis chocoensis,9
Veniliornis dignus,8
Veniliornis frontalis,8
Veniliornis kirkii,9
Veniliornis lignarius,9
Veniliornis maculifrons,8
Veniliornis nigriceps,7
Veniliornis sanguineus,8
Veniliornis spilogaster,7
Verreauxia africana,6
Aulacorhynchus albivitta,9
Aulacorhynchus atrogularis,9
Aulacorhynchus calorhynchus,8
Aulacorhynchus derbianus,8
Aulacorhynchus prasinus,10
Aulacorhynchus sulcatus,8
Aulacorhynchus wagleri,9
Aulacorhynchus whitelianus,8
Pteroglossus azara,6
Pteroglossus beauharnaisii,9
Pteroglossus bitorquatus,9
Pteroglossus erythropygius,7
Pteroglossus frantzii,7
Pteroglossus humboldti,8
Pteroglossus inscriptus,8
Pteroglossus pluricinctus,8
Pteroglossus sanguineus,7
Pteroglossus sturmii,9
Pteroglossus viridis,6
Ramphastos ariel,6
Ramphastos citreolaemus,6
Ramphastos culminatus,6
Ramphastos dicolorus,6
Ramphastos vitellinus,6
Selenidera gouldii,8
Selenidera langsdorffii,8
Selenidera maculirostris,7
Selenidera piperivora,10
Selenidera reinwardtii,8
Semnornis frantzii,7
Cacatua alba,6
Cacatua haematuropygia,9
Cacatua ophthalmica,9
Agapornis fischeri,9
Agapornis personatus,6
Agapornis pullarius,7
Agapornis roseicollis,9
Agapornis taranta,6
Alipiopsitta xanthops,9
Alisterus scapularis,7
Amazona agilis,10
Amazona albifrons,7
Amazona amazonica,10
Amazona arausiaca,10
Amazona dufresniana,6
Amazona festiva,6
Amazona guildingii,6
Amazona lilacina,10
Amazona pretrei,8
Amazona tucumana,8
Amazona versicolor,9
Amazona vinacea,7
Amazona xantholora,6
Anodorhynchus glaucus,7
Aprosmictus erythropterus,9
Ara chloropterus,10
Ara severus,6
Aratinga auricapillus,10
Aratinga nenday,6
Bolborhynchus lineola,6
Brotogeris chiriri,7
Brotogeris cyanoptera,10
Brotogeris jugularis,8
Brotogeris pyrrhoptera,7
Brotogeris sanctithomae,6
Brotogeris tirica,10
Chalcopsitta duivenbodei,6
Charmosyna margarethae,9
Charmosyna multistriata,6
Charmosyna palmarum,7
Charmosyna pulchella,7
Charmosyna rubrigularis,6
Charmosyna rubronotata,7
Charmosyna toxopei,8
Charmosyna wilhelminae,6
Coracopsis barklyi,8
Coracopsis vasa,7
Cyanoramphus auriceps,7
Cyanoramphus unicolor,10
Eclectus polychloros,8
Enicognathus ferrugineus,6
Eos histrio,10
Eos squamata,8
Eunymphicus uvaeensis,8
Forpus cyanopygius,8
Forpus modestus,7
Forpus spengeli,6
Geoffroyus geoffroyi,6
Glossopsitta porphyrocephala,9
Glossopsitta pusilla,10
Graydidascalus brachyurus,8
Hapalopsittaca amazonina,7
Hapalopsittaca fuertesi,7
Hapalopsittaca melanotis,7
Leptosittaca branickii,7
Loriculus philippensis,8
Lorius domicella,9
Lorius garrulus,10
Lorius lory,6
Micropsitta finschii,7
Micropsitta pusio,7
Myiopsitta luchsi,7
Northiella haematogaster,10
Ognorhynchus icterotis,8
Pionopsitta pileata,8
Pionus maximiliani,9
Pionus tumultuosus,9
Platycercus eximius,10
Poicephalus cryptoxanthus,8
Poicephalus flavifrons,8
Poicephalus fuscicollis,9
Primolius maracana,7
Prioniturus mindorensis,7
Prioniturus platenae,8
Prioniturus platurus,6
Psilopsiagon aurifrons,6
Psittacara acuticaudatus,6
Psittacara chloropterus,10
Psittacara erythrogenys,10
Psittacara euops,6
Psittacara finschi,9
Psittacara frontatus,9
Psittacula alexandri,6
Psittaculirostris edwardsii,6
Psitteuteles goldiei,9
Pyrilia aurantiocephala,6
Pyrilia caica,8
Pyrilia haematotis,8
Pyrilia pulchra,8
Pyrilia vulturina,10
Pyrrhura albipectus,9
Pyrrhura devillei,8
Pyrrhura emma,7
Pyrrhura griseipectus,9
Pyrrhura lepida,7
Pyrrhura leucotis,7
Pyrrhura orcesi,8
Pyrrhura parvifrons,8
Pyrrhura perlata,6
Pyrrhura rhodocephala,6
Pyrrhura subandina,7
Pyrrhura viridicata,6
Tanygnathus everetti,8
Tanygnathus lucionensis,9
Tanygnathus megalorynchos,7
Touit batavicus,10
Touit costaricensis,6
Touit dilectissimus,7
Touit huetii,6
Touit melanonotus,7
Trichoglossus capistratus,7
Trichoglossus chlorolepidotus,9
Trichoglossus forsteni,6
Trichoglossus ornatus,9
Trichoglossus weberi,8
Vini australis,7
Vini peruviana,9
Aegolius harrisii,8
Aegolius ridgwayi,6
Asio capensis,7
Asio madagascariensis,8
Athene superciliaris,6
Bubo capensis,7
Bubo cinerascens,6
Bubo leucostictus,10
Bubo sumatranus,8
Ciccaba albitarsis,7
Ciccaba huhula,10
Glaucidium albertinum,6
Glaucidium capense,6
Glaucidium cobanense,8
Glaucidium costaricanum,8
Glaucidium cuculoides,10
Glaucidium griseiceps,6
Glaucidium hoskinsii,8
Glaucidium minutissimum,8
Glaucidium mooreorum,9
Glaucidium nana,6
Glaucidium palmarum,6
Glaucidium parkeri,6
Glaucidium passerinum,10
Glaucidium peruanum,7
Glaucidium radiatum,7
Glaucidium tephronotum,6
Jubula lettii,6
Megascops barbarus,7
Megascops choliba,10
Megascops clarkii,6
Megascops guatemalae,8
Megascops hoyi,8
Megascops marshalli,6
Megascops petersoni,7
Megascops sanctaecatarinae,8
Megascops vermiculatus,7
Megascops watsonii,6
Ninox jacquinoti,8
Ninox japonica,9
Ninox leucopsis,9
Ninox reyi,6
Ninox rufa,10
Ninox scutulata,8
Ninox spilocephala,6
Ninox variegata,8
Otus alfredi,8
Otus angelinae,10
Otus brookii,7
Otus capnodes,7
Otus collari,6
Otus cyprius,7
Otus icterorhynchus,7
Otus ireneae,9
Otus jolandae,7
Otus lempiji,8
Otus mantananensis,6
Otus mayottensis,6
Otus mindorensis,6
Otus pauliani,6
Otus pembaensis,6
Otus rutilus,8
Otus senegalensis,9
Otus thilohoffmanni,8
Ptilopsis leucotis,10
Pulsatrix melanota,6
Scotopelia bouvieri,6
Scotopelia ussheri,9
Strix butleri,6
Strix chacoensis,6
Strix leptogrammica,6
Strix woodfordii,6
Tyto aurantia,9
Tyto longimembris,7
Tyto novaehollandiae,10
Tyto rosenbergii,6
Tyto tenebricosa,10
Apaloderma vittatum,6
Harpactes ardens,8
Harpactes oreskios,9
Harpactes orrhophaeus,9
Pharomachrus fulgidus,8
Pharomachrus pavoninus,10
Trogon aurantius,6
Trogon citreolus,8
Trogon collaris,6
Trogon comptus,6
Trogon curucui,10
Trogon melanocephalus,7
Trogon melanurus,6
Trogon rufus,7
Trogon surrucura,6
