"Species","Results"
"Pardalotus quadragintus","0"
"Pardalotus rubricatus","0"
"Pardalotus striatus","0"
"Baeolophus atricristatus","0"
"Baeolophus bicolor","0"
"Baeolophus inornatus","0"
"Baeolophus ridgwayi","0"
"Baeolophus wollweberi","0"
"Cephalopyrus flammiceps","0"
"Cyanistes caeruleus","28"
"Cyanistes cyanus","0"
"Cyanistes teneriffae","0"
"Lophophanes cristatus","0"
"Lophophanes dichrous","0"
"Machlolophus holsti","0"
"Machlolophus nuchalis","0"
"Machlolophus spilonotus","0"
"Machlolophus xanthogenys","0"
"Melaniparus afer","0"
"Melaniparus albiventris","0"
"Melaniparus carpi","0"
"Melaniparus cinerascens","0"
"Melaniparus fasciiventer","0"
"Melaniparus fringillinus","0"
"Melaniparus funereus","0"
"Melaniparus griseiventris","0"
"Melaniparus guineensis","0"
"Melaniparus leucomelas","0"
"Melaniparus leuconotus","0"
"Melaniparus niger","0"
"Melaniparus pallidiventris","0"
"Melaniparus rufiventris","0"
"Melaniparus thruppi","0"
"Melanochlora sultanea","0"
"Pardaliparus amabilis","0"
"Pardaliparus elegans","0"
"Pardaliparus venustulus","0"
"Parus major","68"
"Parus monticolus","0"
"Periparus ater","1"
"Periparus rubidiventris","0"
"Periparus rufonuchalis","0"
"Poecile atricapillus","2"
"Poecile carolinensis","0"
"Poecile cinctus","1"
"Poecile davidi","0"
"Poecile gambeli","2"
"Poecile hudsonicus","2"
"Poecile hypermelaenus","0"
"Poecile hyrcanus","0"
"Poecile lugubris","0"
"Poecile montanus","1"
"Poecile palustris","2"
"Poecile rufescens","0"
"Poecile sclateri","0"
"Poecile superciliosus","0"
"Poecile weigoldicus","0"
"Pseudopodoces humilis","1"
"Sittiparus castaneoventris","0"
"Sittiparus olivaceus","0"
"Sittiparus owstoni","0"
"Sittiparus semilarvatus","0"
"Sittiparus varius","1"
"Sylviparus modestus","0"
"Basileuterus auricapilla","0"
"Basileuterus belli","0"
"Basileuterus cabanisi","0"
"Basileuterus culicivorus","0"
"Basileuterus griseiceps","0"
"Basileuterus hypoleucus","0"
"Basileuterus ignotus","0"
"Basileuterus lachrymosus","0"
"Basileuterus melanogenys","0"
"Basileuterus rufifrons","0"
"Basileuterus trifasciatus","0"
"Basileuterus tristriatus","0"
"Cardellina canadensis","0"
"Cardellina pusilla","0"
"Cardellina rubra","0"
"Cardellina rubrifrons","0"
"Cardellina versicolor","0"
"Catharopeza bishopi","0"
"Geothlypis aequinoctialis","0"
"Geothlypis auricularis","0"
"Geothlypis bairdi","0"
"Geothlypis beldingi","0"
"Geothlypis chiriquensis","0"
"Geothlypis flavovelata","0"
"Geothlypis formosa","0"
"Geothlypis nelsoni","0"
"Geothlypis philadelphia","0"
"Geothlypis poliocephala","0"
"Geothlypis rostrata","0"
"Geothlypis semiflava","0"
"Geothlypis speciosa","0"
"Geothlypis tolmiei","0"
"Geothlypis trichas","0"
"Helmitheros vermivorum","1"
"Leiothlypis celata","0"
"Leiothlypis crissalis","0"
"Leiothlypis luciae","0"
"Leiothlypis peregrina","0"
"Leiothlypis ruficapilla","0"
"Leiothlypis virginiae","0"
"Leucopeza semperi","0"
"Limnothlypis swainsonii","0"
"Mniotilta varia","0"
"Myioborus albifacies","0"
"Myioborus albifrons","0"
"Myioborus brunniceps","0"
"Myioborus cardonai","0"
"Myioborus castaneocapilla","0"
"Myioborus chrysops","0"
"Myioborus flavivertex","0"
"Myioborus melanocephalus","0"
"Myioborus miniatus","0"
"Myioborus ornatus","0"
"Myioborus pariae","0"
"Myioborus pictus","0"
"Myioborus torquatus","0"
"Myiothlypis basilica","0"
"Myiothlypis bivittata","0"
"Myiothlypis chlorophrys","0"
"Myiothlypis chrysogaster","0"
"Myiothlypis cinereicollis","0"
"Myiothlypis conspicillata","0"
"Myiothlypis coronata","0"
"Myiothlypis euophrys","0"
"Myiothlypis flaveola","0"
"Myiothlypis fraseri","0"
"Myiothlypis fulvicauda","0"
"Myiothlypis leucoblephara","0"
"Myiothlypis leucophrys","0"
"Myiothlypis luteoviridis","0"
"Myiothlypis mesoleuca","0"
"Myiothlypis nigrocristata","0"
"Myiothlypis rivularis","0"
"Myiothlypis roraimae","0"
"Myiothlypis signata","0"
"Myiothlypis striaticeps","0"
"Oporornis agilis","0"
"Oreothlypis gutturalis","0"
"Oreothlypis superciliosa","0"
"Parkesia motacilla","0"
"Parkesia noveboracensis","0"
"Protonotaria citrea","2"
"Seiurus aurocapilla","1"
"Setophaga adelaidae","0"
"Setophaga americana","0"
"Setophaga angelae","0"
"Setophaga auduboni","0"
"Setophaga caerulescens","0"
"Setophaga castanea","0"
"Setophaga cerulea","2"
"Setophaga chrysoparia","0"
"Setophaga citrina","0"
"Setophaga coronata","1"
"Setophaga delicata","0"
"Setophaga discolor","0"
"Setophaga dominica","0"
"Setophaga flavescens","0"
"Setophaga fusca","0"
"Setophaga graciae","0"
"Setophaga graysoni","0"
"Setophaga kirtlandii","0"
"Setophaga magnolia","0"
"Setophaga nigrescens","0"
"Setophaga occidentalis","0"
"Setophaga palmarum","0"
"Setophaga pensylvanica","0"
"Setophaga petechia","0"
"Setophaga pharetra","0"
"Setophaga pinus","1"
"Setophaga pitiayumi","0"
"Setophaga pityophila","0"
"Setophaga plumbea","0"
"Setophaga ruticilla","0"
"Setophaga striata","0"
"Setophaga subita","0"
"Setophaga tigrina","0"
"Setophaga townsendi","0"
"Setophaga virens","0"
"Setophaga vitellina","0"
"Vermivora bachmanii","0"
"Vermivora chrysoptera","0"
"Vermivora cyanoptera","0"
"Aimophila notosticta","0"
"Aimophila rufescens","0"
"Aimophila ruficeps","0"
"Ammodramus aurifrons","0"
"Ammodramus humeralis","0"
"Ammodramus savannarum","0"
"Ammospiza caudacuta","0"
"Ammospiza leconteii","0"
"Ammospiza maritima","0"
"Ammospiza nelsoni","0"
"Amphispiza bilineata","0"
"Amphispiza quinquestriata","0"
"Arremon abeillei","0"
"Arremon assimilis","0"
"Arremon atricapillus","0"
"Arremon aurantiirostris","0"
"Arremon axillaris","0"
"Arremon basilicus","0"
"Arremon brunneinucha","0"
"Arremon castaneiceps","0"
"Arremon costaricensis","0"
"Arremon crassirostris","0"
"Arremon dorbignii","0"
"Arremon flavirostris","0"
"Arremon franciscanus","0"
"Arremon nigriceps","0"
"Arremon perijanus","0"
"Arremon phaeopleurus","0"
"Arremon phygas","0"
"Arremon schlegeli","0"
"Arremon semitorquatus","0"
"Arremon taciturnus","0"
"Arremon torquatus","0"
"Arremon virenticeps","0"
"Arremonops chloronotus","0"
"Arremonops conirostris","0"
"Arremonops rufivirgatus","0"
"Arremonops tocuyensis","0"
"Artemisiospiza belli","0"
"Artemisiospiza nevadensis","0"
"Atlapetes albiceps","0"
"Atlapetes albinucha","0"
"Atlapetes albofrenatus","0"
"Atlapetes blancae","0"
"Atlapetes canigenis","0"
"Atlapetes citrinellus","0"
"Atlapetes crassus","0"
"Atlapetes flaviceps","0"
"Atlapetes forbesi","0"
"Atlapetes fulviceps","0"
"Atlapetes fuscoolivaceus","0"
"Atlapetes latinuchus","0"
"Atlapetes leucopis","0"
"Atlapetes leucopterus","0"
"Atlapetes melanocephalus","0"
"Atlapetes melanolaemus","0"
"Atlapetes melanopsis","0"
"Atlapetes meridae","0"
"Atlapetes nationi","0"
"Atlapetes nigrifrons","0"
"Atlapetes pallidiceps","0"
"Atlapetes pallidinucha","0"
"Atlapetes paynteri","0"
"Atlapetes personatus","0"
"Atlapetes pileatus","0"
"Atlapetes rufigenis","0"
"Atlapetes rufinucha","0"
"Atlapetes schistaceus","0"
"Atlapetes seebohmi","0"
"Atlapetes semirufus","0"
"Atlapetes taczanowskii","0"
"Atlapetes terborghi","0"
"Atlapetes tricolor","0"
"Calamospiza melanocorys","0"
"Chlorospingus canigularis","0"
"Chlorospingus flavigularis","0"
"Chlorospingus flavopectus","0"
"Chlorospingus hypophaeus","0"
"Chlorospingus inornatus","0"
"Chlorospingus parvirostris","0"
"Chlorospingus pileatus","0"
"Chlorospingus semifuscus","0"
"Chlorospingus tacarcunae","0"
"Chondestes grammacus","0"
"Junco bairdi","0"
"Junco hyemalis","3"
"Junco insularis","0"
"Junco phaeonotus","0"
"Junco vulcani","0"
"Melospiza georgiana","1"
"Melospiza lincolnii","0"
"Melospiza melodia","2"
"Melozone aberti","0"
"Melozone albicollis","0"
"Melozone biarcuata","0"
"Melozone cabanisi","0"
"Melozone crissalis","0"
"Melozone fusca","0"
"Melozone kieneri","0"
"Melozone leucotis","0"
"Melozone occipitalis","0"
"Oreothraupis arremonops","0"
"Oriturus superciliosus","0"
"Passerculus bairdii","0"
"Passerculus guttatus","0"
"Passerculus henslowii","0"
"Passerculus rostratus","0"
"Passerculus sanctorum","0"
"Passerculus sandwichensis","3"
"Passerella arborea","0"
"Passerella iliaca","0"
"Passerella megarhyncha","0"
"Passerella schistacea","0"
"Passerella unalaschcensis","0"
"Peucaea aestivalis","0"
"Peucaea botterii","0"
"Peucaea carpalis","0"
"Peucaea cassinii","0"
"Peucaea humeralis","0"
"Peucaea mystacalis","0"
"Peucaea ruficauda","0"
"Peucaea sumichrasti","0"
"Pezopetes capitalis","0"
"Pipilo chlorurus","0"
"Pipilo erythrophthalmus","1"
"Pipilo maculatus","0"
"Pipilo ocai","0"
"Pipilo socorroensis","0"
"Pooecetes gramineus","1"
"Pselliophorus luteoviridis","0"
"Pselliophorus tibialis","0"
"Rhynchospiza stolzmanni","0"
"Rhynchospiza strigiceps","0"
"Spizella atrogularis","0"
"Spizella breweri","0"
"Spizella pallida","0"
"Spizella passerina","1"
"Spizella pusilla","1"
"Spizella wortheni","0"
"Torreornis inexpectata","0"
"Xenospiza baileyi","1"
"Zonotrichia albicollis","1"
"Zonotrichia atricapilla","0"
"Zonotrichia capensis","0"
"Zonotrichia leucophrys","1"
"Zonotrichia querula","0"
"Carpospiza brachydactyla","0"
"Gymnoris dentata","0"
"Gymnoris pyrgita","0"
"Gymnoris superciliaris","0"
"Gymnoris xanthocollis","0"
"Hypocryptadius cinnamomeus","0"
"Montifringilla adamsi","0"
"Montifringilla henrici","0"
"Montifringilla nivalis","1"
"Onychostruthus taczanowskii","0"
"Passer ammodendri","0"
"Passer castanopterus","0"
"Passer cinnamomeus","0"
"Passer cordofanicus","0"
"Passer diffusus","0"
"Passer domesticus","39"
"Passer eminibey","0"
"Passer euchlorus","0"
"Passer flaveolus","0"
"Passer gongonensis","0"
"Passer griseus","0"
"Passer hemileucus","0"
"Passer hispaniolensis","1"
"Passer iagoensis","0"
"Passer insularis","0"
"Passer italiae","0"
"Passer luteus","2"
"Passer melanurus","0"
"Passer moabiticus","0"
"Passer montanus","15"
"Passer motitensis","0"
"Passer pyrrhonotus","0"
"Passer rufocinctus","0"
"Passer shelleyi","0"
"Passer simplex","0"
"Passer suahelicus","0"
"Passer swainsonii","0"
"Passer zarudnyi","0"
"Petronia petronia","0"
"Pyrgilauda blanfordi","0"
"Pyrgilauda davidiana","0"
"Pyrgilauda ruficollis","0"
"Pyrgilauda theresae","0"
"Gampsorhynchus rufulus","0"
"Gampsorhynchus torquatus","0"
"Graminicola bengalensis","0"
"Graminicola striatus","0"
"Illadopsis albipectus","0"
"Illadopsis cleaveri","0"
"Illadopsis distans","0"
"Illadopsis fulvescens","0"
"Illadopsis puveli","0"
"Illadopsis pyrrhoptera","0"
"Illadopsis rufescens","0"
"Illadopsis rufipennis","0"
"Illadopsis turdina","0"
"Kenopia striata","0"
"Laticilla burnesii","0"
"Laticilla cinerascens","0"
"Leonardina woodi","0"
"Malacocincla abbotti","0"
"Malacocincla perspicillata","0"
"Malacocincla sepiaria","0"
"Malacopteron affine","0"
"Malacopteron albogulare","0"
"Malacopteron cinereum","0"
"Malacopteron magnirostre","0"
"Malacopteron magnum","0"
"Malacopteron palawanense","0"
"Napothera epilepidota","0"
"Pellorneum albiventre","0"
"Pellorneum capistratum","0"
"Pellorneum fuscocapillus","0"
"Pellorneum nigrocapitatum","0"
"Pellorneum palustre","0"
"Pellorneum ruficeps","0"
"Ptilocichla falcata","0"
"Ptilocichla leucogrammica","0"
"Ptilocichla mindanensis","0"
"Rimator albostriatus","0"
"Rimator danjoui","0"
"Rimator malacoptilus","0"
"Rimator naungmungensis","0"
"Rimator pasquieri","0"
"Schoeniparus brunneus","0"
"Schoeniparus castaneceps","0"
"Schoeniparus cinereus","0"
"Schoeniparus dubius","0"
"Schoeniparus klossi","0"
"Schoeniparus rufogularis","0"
"Schoeniparus variegaticeps","0"
"Trichastoma bicolor","0"
"Trichastoma buettikoferi","0"
"Trichastoma celebense","0"
"Trichastoma cinereiceps","0"
"Trichastoma malaccense","0"
"Trichastoma pyrrogenys","0"
"Trichastoma rostratum","0"
"Trichastoma tickelli","0"
"Turdinus atrigularis","0"
"Turdinus brevicaudatus","0"
"Turdinus calcicola","0"
"Turdinus crassus","0"
"Turdinus crispifrons","0"
"Turdinus macrodactylus","0"
"Turdinus marmoratus","0"
"Turdinus rufipectus","0"
"Amalocichla incerta","0"
"Amalocichla sclateriana","0"
"Cryptomicroeca flaviventris","0"
"Devioeca papuana","0"
"Drymodes beccarii","0"
"Drymodes brunneopygia","0"
"Drymodes superciliaris","0"
"Eopsaltria australis","0"
"Eopsaltria griseogularis","0"
"Eugerygone rubra","0"
"Gennaeodryas placens","0"
"Heteromyias albispecularis","0"
"Heteromyias armiti","0"
"Heteromyias cinereifrons","0"
"Kempiella flavovirescens","0"
"Kempiella griseoceps","0"
"Melanodryas cucullata","0"
"Melanodryas vittata","0"
"Microeca fascinans","0"
"Microeca flavigaster","0"
"Microeca hemixantha","0"
"Microeca tormenti","0"
"Monachella coultasi","0"
"Monachella muelleriana","0"
"Pachycephalopsis hattamensis","0"
"Pachycephalopsis poliosoma","0"
"Peneoenanthe pulverulenta","0"
"Peneothello bimaculata","0"
"Peneothello cryptoleuca","0"
"Peneothello cyanus","0"
"Peneothello sigillata","0"
"Petroica archboldi","0"
"Petroica australis","1"
"Petroica bivittata","0"
"Petroica boodang","0"
"Petroica dannefaerdi","0"
"Petroica goodenovii","0"
"Petroica longipes","0"
"Petroica macrocephala","1"
"Petroica multicolor","0"
"Petroica phoenicea","0"
"Petroica pusilla","0"
"Petroica rodinogaster","0"
"Petroica rosea","0"
"Petroica traversi","0"
"Plesiodryas albonotata","0"
"Poecilodryas brachyura","0"
"Poecilodryas cerviniventris","0"
"Poecilodryas hypoleuca","0"
"Poecilodryas superciliosa","0"
"Quoyornis georgianus","0"
"Tregellasia capito","0"
"Tregellasia leucops","0"
"Peucedramus taeniatus","0"
"Microligea palustris","0"
"Phaenicophilus palmarum","0"
"Phaenicophilus poliocephalus","0"
"Xenoligea montana","0"
"Neodrepanis coruscans","0"
"Neodrepanis hypoxantha","0"
"Philepitta castanea","0"
"Philepitta schlegeli","0"
"Phylloscopus affinis","0"
"Phylloscopus amoenus","0"
"Phylloscopus armandii","0"
"Phylloscopus bonelli","0"
"Phylloscopus borealis","0"
"Phylloscopus borealoides","0"
"Phylloscopus budongoensis","0"
"Phylloscopus burkii","0"
"Phylloscopus calciatilis","0"
"Phylloscopus canariensis","0"
"Phylloscopus cantator","0"
"Phylloscopus castaniceps","0"
"Phylloscopus cebuensis","0"
"Phylloscopus chloronotus","0"
"Phylloscopus claudiae","0"
"Phylloscopus collybita","1"
"Phylloscopus coronatus","0"
"Phylloscopus emeiensis","0"
"Phylloscopus emilsalimi","0"
"Phylloscopus examinandus","0"
"Phylloscopus forresti","0"
"Phylloscopus fuligiventer","0"
"Phylloscopus fuscatus","0"
"Phylloscopus goodsoni","0"
"Phylloscopus grammiceps","0"
"Phylloscopus griseolus","0"
"Phylloscopus hainanus","0"
"Phylloscopus herberti","0"
"Phylloscopus humei","0"
"Phylloscopus ibericus","0"
"Phylloscopus ijimae","0"
"Phylloscopus inornatus","3"
"Phylloscopus intensior","0"
"Phylloscopus intermedius","0"
"Phylloscopus kansuensis","0"
"Phylloscopus laetus","0"
"Phylloscopus laurae","0"
"Phylloscopus maculipennis","0"
"Phylloscopus maforensis","0"
"Phylloscopus magnirostris","0"
"Phylloscopus misoriensis","0"
"Phylloscopus montis","0"
"Phylloscopus neglectus","0"
"Phylloscopus nitidus","0"
"Phylloscopus occipitalis","0"
"Phylloscopus ogilviegranti","0"
"Phylloscopus olivaceus","0"
"Phylloscopus omeiensis","0"
"Phylloscopus orientalis","0"
"Phylloscopus plumbeitarsus","0"
"Phylloscopus poliocephalus","0"
"Phylloscopus poliogenys","0"
"Phylloscopus presbytes","0"
"Phylloscopus proregulus","0"
"Phylloscopus pulcher","0"
"Phylloscopus reguloides","0"
"Phylloscopus ricketti","0"
"Phylloscopus rotiensis","0"
"Phylloscopus ruficapilla","0"
"Phylloscopus sarasinorum","0"
"Phylloscopus schwarzi","0"
"Phylloscopus sibilatrix","1"
"Phylloscopus sindianus","0"
"Phylloscopus soror","0"
"Phylloscopus suaramerdu","0"
"Phylloscopus subaffinis","0"
"Phylloscopus subviridis","0"
"Phylloscopus sumatrensis","0"
"Phylloscopus tenellipes","0"
"Phylloscopus tephrocephalus","0"
"Phylloscopus tristis","0"
"Phylloscopus trivirgatus","0"
"Phylloscopus trochiloides","0"
"Phylloscopus trochilus","2"
"Phylloscopus tytleri","0"
"Phylloscopus umbrovirens","0"
"Phylloscopus valentini","0"
"Phylloscopus whistleri","0"
"Phylloscopus xanthodryas","0"
"Phylloscopus xanthoschistos","0"
"Phylloscopus yunnanensis","0"
"Picathartes gymnocephalus","0"
"Picathartes oreas","0"
"Antilophia bokermanni","0"
"Antilophia galeata","0"
"Ceratopipra chloromeros","0"
"Ceratopipra cornuta","0"
"Ceratopipra erythrocephala","0"
"Ceratopipra mentalis","0"
"Ceratopipra rubrocapilla","0"
"Chiroxiphia boliviana","0"
"Chiroxiphia caudata","1"
"Chiroxiphia lanceolata","0"
"Chiroxiphia linearis","0"
"Chiroxiphia pareola","0"
"Chloropipo flavicapilla","0"
"Chloropipo unicolor","0"
"Corapipo gutturalis","0"
"Corapipo leucorrhoa","0"
"Cryptopipo holochlora","0"
"Cryptopipo litae","0"
"Heterocercus aurantiivertex","0"
"Heterocercus flavivertex","0"
"Heterocercus linteatus","0"
"Ilicura militaris","0"
"Lepidothrix coeruleocapilla","0"
"Lepidothrix coronata","0"
"Lepidothrix iris","0"
"Lepidothrix isidorei","0"
"Lepidothrix nattereri","0"
"Lepidothrix serena","0"
"Lepidothrix suavissima","0"
"Lepidothrix vilasboasi","0"
"Machaeropterus deliciosus","0"
"Machaeropterus eckelberryi","0"
"Machaeropterus pyrocephalus","0"
"Machaeropterus regulus","0"
"Machaeropterus striolatus","0"
"Manacus aurantiacus","0"
"Manacus candei","0"
"Manacus manacus","0"
"Manacus vitellinus","0"
"Masius chrysopterus","0"
"Neopelma aurifrons","0"
"Neopelma chrysocephalum","0"
"Neopelma chrysolophum","0"
"Neopelma pallescens","0"
"Neopelma sulphureiventer","0"
"Pipra aureola","0"
"Pipra fasciicauda","0"
"Pipra filicauda","0"
"Pseudopipra pipra","0"
"Tyranneutes stolzmanni","0"
"Tyranneutes virescens","0"
"Xenopipo atronitens","0"
"Xenopipo uniformis","0"
"Erythropitta arquata","0"
"Erythropitta caeruleitorques","0"
"Erythropitta celebensis","0"
"Erythropitta dohertyi","0"
"Erythropitta erythrogaster","0"
"Erythropitta gazellae","0"
"Erythropitta granatina","0"
"Erythropitta inspeculata","0"
"Erythropitta kochi","0"
"Erythropitta macklotii","0"
"Erythropitta meeki","0"
"Erythropitta novaehibernicae","0"
"Erythropitta palliceps","0"
"Erythropitta rubrinucha","0"
"Erythropitta rufiventris","0"
"Erythropitta splendida","0"
"Erythropitta ussheri","0"
"Erythropitta venusta","0"
"Hydrornis baudii","0"
"Hydrornis caeruleus","0"
"Hydrornis cyaneus","0"
"Hydrornis elliotii","0"
"Hydrornis guajanus","0"
"Hydrornis gurneyi","0"
"Hydrornis irena","0"
"Hydrornis nipalensis","0"
"Hydrornis oatesi","0"
"Hydrornis phayrei","0"
"Hydrornis schneideri","0"
"Hydrornis schwaneri","0"
"Hydrornis soror","0"
"Pitta anerythra","0"
"Pitta angolensis","0"
"Pitta brachyura","0"
"Pitta elegans","0"
"Pitta iris","0"
"Pitta maxima","0"
"Pitta megarhyncha","0"
"Pitta moluccensis","0"
"Pitta morotaiensis","0"
"Pitta novaeguineae","0"
"Pitta nympha","0"
"Pitta reichenowi","0"
"Pitta rosenbergii","0"
"Pitta sordida","0"
"Pitta steerii","0"
"Pitta superba","0"
"Pitta versicolor","0"
"Pityriasis gymnocephala","0"
"Platylophus galericulatus","0"
"Batis capensis","0"
"Batis crypta","0"
"Batis dimorpha","0"
"Batis diops","0"
"Batis erlangeri","0"
"Batis fratrum","0"
"Batis ituriensis","0"
"Batis margaritae","0"
"Batis minima","0"
"Batis minor","0"
"Batis minulla","0"
"Batis mixta","0"
"Batis molitor","0"
"Batis occulta","0"
"Batis orientalis","0"
"Batis perkeo","0"
"Batis poensis","0"
"Batis pririt","0"
"Batis reichenowi","0"
"Batis senegalensis","0"
"Batis soror","0"
"Dyaphorophyia ansorgei","0"
"Dyaphorophyia blissetti","0"
"Dyaphorophyia castanea","0"
"Dyaphorophyia chalybea","0"
"Dyaphorophyia concreta","0"
"Dyaphorophyia hormophora","0"
"Dyaphorophyia jamesoni","0"
"Dyaphorophyia tonsa","0"
"Lanioturdus torquatus","0"
"Platysteira albifrons","0"
"Platysteira cyanea","0"
"Platysteira laticincta","0"
"Platysteira peltata","0"
"Amblyospiza albifrons","0"
"Anaplectes jubaensis","0"
"Anaplectes leuconotos","0"
"Anaplectes rubriceps","0"
"Brachycope anomala","0"
"Bubalornis albirostris","0"
"Bubalornis niger","1"
"Dinemellia dinemelli","1"
"Euplectes afer","0"
"Euplectes albonotatus","0"
"Euplectes ardens","0"
"Euplectes aureus","0"
"Euplectes axillaris","0"
"Euplectes capensis","0"
"Euplectes diadematus","0"
"Euplectes franciscanus","0"
"Euplectes gierowii","0"
"Euplectes hartlaubi","1"
"Euplectes hordeaceus","0"
"Euplectes jacksoni","0"
"Euplectes laticauda","0"
"Euplectes macroura","0"
"Euplectes nigroventris","0"
"Euplectes orix","0"
"Euplectes progne","1"
"Euplectes psammacromius","0"
"Foudia aldabrana","0"
"Foudia consobrina","0"
"Foudia eminentissima","0"
"Foudia flavicans","0"
"Foudia madagascariensis","1"
"Foudia omissa","0"
"Foudia rubra","0"
"Foudia sechellarum","1"
"Histurgops ruficauda","0"
"Malimbus ballmanni","0"
"Malimbus cassini","0"
"Malimbus coronatus","0"
"Malimbus erythrogaster","0"
"Malimbus ibadanensis","0"
"Malimbus malimbicus","0"
"Malimbus nitens","0"
"Malimbus racheliae","0"
"Malimbus rubricollis","0"
"Malimbus scutatus","0"
"Philetairus socius","23"
"Plocepasser donaldsoni","0"
"Plocepasser mahali","5"
"Plocepasser rufoscapulatus","0"
"Plocepasser superciliosus","0"
"Ploceus albinucha","0"
"Ploceus alienus","0"
"Ploceus angolensis","0"
"Ploceus aurantius","0"
"Ploceus aureonucha","0"
"Ploceus badius","1"
"Ploceus baglafecht","0"
"Ploceus bannermani","0"
"Ploceus batesi","0"
"Ploceus benghalensis","0"
"Ploceus bertrandi","0"
"Ploceus bicolor","0"
"Ploceus bojeri","0"
"Ploceus brachypterus","0"
"Ploceus burnieri","0"
"Ploceus capensis","0"
"Ploceus castaneiceps","0"
"Ploceus castaneofuscus","0"
"Ploceus castanops","0"
"Ploceus cucullatus","2"
"Ploceus dichrocephalus","0"
"Ploceus dorsomaculatus","0"
"Ploceus flavipes","0"
"Ploceus galbula","0"
"Ploceus golandi","0"
"Ploceus grandis","0"
"Ploceus heuglini","0"
"Ploceus hypoxanthus","0"
"Ploceus insignis","0"
"Ploceus intermedius","0"
"Ploceus jacksoni","0"
"Ploceus katangae","0"
"Ploceus luteolus","0"
"Ploceus manyar","1"
"Ploceus megarhynchus","0"
"Ploceus melanocephalus","1"
"Ploceus melanogaster","0"
"Ploceus nelicourvi","0"
"Ploceus nicolli","0"
"Ploceus nigerrimus","0"
"Ploceus nigricollis","0"
"Ploceus nigrimentus","0"
"Ploceus ocularis","0"
"Ploceus olivaceiceps","0"
"Ploceus pelzelni","0"
"Ploceus philippinus","2"
"Ploceus preussi","0"
"Ploceus princeps","0"
"Ploceus reichardi","0"
"Ploceus rubiginosus","0"
"Ploceus ruweti","0"
"Ploceus sakalava","0"
"Ploceus sanctithomae","0"
"Ploceus spekei","0"
"Ploceus spekeoides","0"
"Ploceus subaureus","0"
"Ploceus subpersonatus","0"
"Ploceus superciliosus","0"
"Ploceus taeniopterus","0"
"Ploceus temporalis","0"
"Ploceus tricolor","0"
"Ploceus upembae","0"
"Ploceus velatus","0"
"Ploceus vitellinus","0"
"Ploceus weynsi","0"
"Ploceus xanthops","0"
"Ploceus xanthopterus","0"
"Pseudonigrita arnaudi","2"
"Pseudonigrita cabanisi","0"
"Quelea cardinalis","0"
"Quelea erythrops","0"
"Quelea quelea","20"
"Sporopipes frontalis","0"
"Sporopipes squamifrons","1"
"Pnoepyga albiventer","0"
"Pnoepyga formosana","0"
"Pnoepyga immaculata","0"
"Pnoepyga pusilla","0"
"Microbates cinereiventris","0"
"Microbates collaris","0"
"Polioptila albiloris","0"
"Polioptila caerulea","0"
"Polioptila californica","0"
"Polioptila dumicola","0"
"Polioptila guianensis","0"
"Polioptila lactea","0"
"Polioptila lembeyei","0"
"Polioptila maior","0"
"Polioptila melanura","0"
"Polioptila nigriceps","0"
"Polioptila plumbea","0"
"Polioptila schistaceigula","0"
"Ramphocaenus melanurus","0"
"Garritornis isidorei","0"
"Pomatostomus halli","1"
"Pomatostomus ruficeps","2"
"Pomatostomus superciliosus","2"
"Pomatostomus temporalis","4"
"Promerops cafer","0"
"Promerops gurneyi","0"
"Prunella atrogularis","0"
"Prunella collaris","3"
"Prunella fulvescens","0"
"Prunella himalayana","0"
"Prunella immaculata","0"
"Prunella koslowi","0"
"Prunella modularis","4"
"Prunella montanella","0"
"Prunella ocularis","0"
"Prunella rubeculoides","0"
"Prunella rubida","0"
"Prunella strophiata","0"
"Androphobus viridis","0"
"Psophodes cristatus","0"
"Psophodes nigrogularis","0"
"Psophodes occidentalis","0"
"Psophodes olivaceus","0"
"Phainopepla nitens","1"
"Phainoptila melanoxantha","0"
"Ptiliogonys caudatus","0"
"Ptiliogonys cinereus","0"
"Ailuroedus buccoides","0"
"Ailuroedus crassirostris","0"
"Ailuroedus melanotis","0"
"Amblyornis flavifrons","0"
"Amblyornis inornata","0"
"Amblyornis macgregoriae","0"
"Amblyornis subalaris","0"
"Archboldia papuensis","0"
"Chlamydera cerviniventris","0"
"Chlamydera guttata","0"
"Chlamydera lauterbachi","0"
"Chlamydera maculata","0"
"Chlamydera nuchalis","0"
"Prionodura newtoniana","0"
"Ptilonorhynchus violaceus","0"
"Scenopoeetes dentirostris","0"
"Sericulus ardens","0"
"Sericulus aureus","0"
"Sericulus bakeri","0"
"Sericulus chrysocephalus","0"
"Acritillas indica","0"
"Alcurus striatus","0"
"Alophoixus bres","0"
"Alophoixus flaveolus","0"
"Alophoixus frater","0"
"Alophoixus griseiceps","0"
"Alophoixus ochraceus","0"
"Alophoixus pallidus","1"
"Alophoixus phaeocephalus","0"
"Alophoixus ruficrissus","0"
"Alophoixus tephrogenys","0"
"Andropadus importunus","0"
"Arizelocichla chlorigula","0"
"Arizelocichla fusciceps","0"
"Arizelocichla masukuensis","0"
"Arizelocichla milanjensis","0"
"Arizelocichla montana","0"
"Arizelocichla neumanni","0"
"Arizelocichla nigriceps","0"
"Arizelocichla striifacies","0"
"Arizelocichla tephrolaema","0"
"Atimastillas flavicollis","0"
"Atimastillas flavigula","0"
