"Species","Results"
"Ceyx flumenicola","0"
"Ceyx gentianus","0"
"Ceyx lepidus","0"
"Ceyx margarethae","0"
"Ceyx meeki","0"
"Ceyx melanurus","0"
"Ceyx mindanensis","0"
"Ceyx mulcatus","0"
"Ceyx nigrirostris","0"
"Ceyx nigromaxilla","0"
"Ceyx pusillus","0"
"Ceyx sacerdotis","0"
"Ceyx sangirensis","0"
"Ceyx solitarius","0"
"Ceyx wallacii","0"
"Ceyx websteri","0"
"Chloroceryle aenea","0"
"Chloroceryle amazona","0"
"Chloroceryle americana","0"
"Chloroceryle inda","0"
"Cittura cyanotis","0"
"Cittura sanghirensis","0"
"Clytoceyx rex","0"
"Corythornis cristatus","0"
"Corythornis leucogaster","0"
"Corythornis madagascariensis","0"
"Corythornis nais","0"
"Corythornis thomensis","0"
"Corythornis vintsioides","0"
"Dacelo gaudichaud","0"
"Dacelo leachii","0"
"Dacelo novaeguineae","2"
"Dacelo tyro","0"
"Halcyon albiventris","0"
"Halcyon badia","0"
"Halcyon chelicuti","0"
"Halcyon coromanda","0"
"Halcyon cyanoventris","0"
"Halcyon gularis","0"
"Halcyon leucocephala","0"
"Halcyon malimbica","0"
"Halcyon pileata","0"
"Halcyon senegalensis","0"
"Halcyon senegaloides","0"
"Halcyon smyrnensis","0"
"Ispidina lecontei","0"
"Ispidina picta","0"
"Lacedo melanops","0"
"Lacedo pulchella","0"
"Megaceryle alcyon","0"
"Megaceryle lugubris","0"
"Megaceryle maxima","0"
"Megaceryle torquata","1"
"Melidora macrorrhina","0"
"Pelargopsis amauroptera","0"
"Pelargopsis capensis","0"
"Pelargopsis melanorhyncha","0"
"Syma megarhyncha","0"
"Syma torotoro","0"
"Tanysiptera carolinae","0"
"Tanysiptera danae","0"
"Tanysiptera ellioti","0"
"Tanysiptera galatea","0"
"Tanysiptera hydrocharis","0"
"Tanysiptera nigriceps","0"
"Tanysiptera nympha","0"
"Tanysiptera riedelii","0"
"Tanysiptera sylvia","0"
"Todiramphus albonotatus","0"
"Todiramphus australasia","0"
"Todiramphus chloris","0"
"Todiramphus cinnamominus","0"
"Todiramphus diops","0"
"Todiramphus enigma","0"
"Todiramphus farquhari","0"
"Todiramphus funebris","0"
"Todiramphus gambieri","0"
"Todiramphus godeffroyi","0"
"Todiramphus lazuli","0"
"Todiramphus leucopygius","0"
"Todiramphus macleayii","0"
"Todiramphus nigrocyaneus","0"
"Todiramphus pelewensis","0"
"Todiramphus pyrrhopygius","0"
"Todiramphus recurvirostris","0"
"Todiramphus reichenbachii","0"
"Todiramphus ruficollaris","0"
"Todiramphus sanctus","0"
"Todiramphus saurophagus","0"
"Todiramphus tutus","0"
"Todiramphus veneratus","0"
"Todiramphus winchelli","0"
"Todiramphus youngi","0"
"Atelornis crossleyi","0"
"Atelornis pittoides","0"
"Brachypteracias leptosomus","0"
"Geobiastes squamiger","0"
"Uratelornis chimaera","0"
"Coracias abyssinicus","0"
"Coracias affinis","0"
"Coracias benghalensis","1"
